x,y,t
0,0,0
1,0,38634
2,0,38794
3,0,38925
4,0,39037
5,0,39166
6,0,39581
7,0,39795
8,0,40000
9,0,40176
9,1,41381
8,1,41747
7,1,42103
7,2,42528
8,2,42898
9,2,43314
9,3,43837
9,4,44043
9,5,44234
9,6,44419
9,7,44576
9,8,44753
8,8,45640
8,9,46020
8,8,46609
8,7,46949
8,6,47146
8,5,47338
8,4,47528
7,4,48025
7,5,49434
7,4,49756
6,4,50133
5,4,50349
5,3,51059
6,3,51378
6,2,51982
5,2,53074
5,1,53739
5,2,54488
4,2,54699
4,3,55263
3,3,55664
3,4,56588
3,5,57605
4,5,58056
5,5,58271
5,6,58545
6,6,58875
6,7,59173
7,7,59984
6,7,60927
6,8,61169
6,9,61585
5,9,61875
5,8,62232
5,7,62505
4,7,63582
4,6,63931
3,6,64249
3,7,64885
3,8,66150
3,9,67497
4,9,67737
3,9,68867
2,9,69075
1,9,69324
0,9,69670
0,8,70033
1,8,70478
2,8,70692
2,7,70943
1,7,71381
0,7,71581
1,7,72419
2,7,72880
2,6,73115
1,6,73639
0,6,73832
0,5,74140
0,4,74479
1,4,74835
2,4,75204
2,3,75526
1,3,75945
0,3,76475
0,2,76875
1,2,77180
1,1,77505
2,1,77852
3,1,78055
