x,y,t
0,0,0
1,0,1541
2,0,2041
3,0,2128
4,0,2207
5,0,2294
6,0,2377
7,0,2459
8,0,2543
9,0,2626
9,1,3204
8,1,3548
7,1,3989
7,2,4252
8,2,4580
9,2,4916
9,3,5316
9,4,5817
9,5,5899
9,6,5982
9,7,6612
9,8,7028
8,8,7412
8,9,8060
8,8,8452
8,7,8748
8,6,9028
8,5,9227
8,4,9475
7,4,10044
7,5,11268
7,4,11636
6,4,12004
6,3,12444
6,2,12804
5,2,14141
5,1,14412
5,2,14836
5,3,15091
5,4,15593
5,5,15675
5,6,15760
5,7,16141
6,7,16988
6,6,17236
6,7,17772
7,7,18036
6,7,18388
6,8,18676
6,9,18932
5,9,19252
4,9,19753
3,9,19835
2,9,19918
1,9,20002
0,9,20086
0,8,21332
0,7,21833
1,7,22116
2,7,22616
3,7,22697
4,7,23158
5,7,23492
5,8,23932
5,7,24236
4,7,24541
3,7,24972
3,8,25316
2,8,25741
1,8,26076
1,7,26836
1,6,27331
2,6,27611
3,6,27907
4,6,28244
4,5,28548
3,5,28876
3,4,29203
3,3,29466
4,3,29941
4,2,30244
4,3,30588
3,3,30851
2,3,31220
2,4,31764
1,4,32108
0,4,32572
0,5,32884
0,6,33106
0,5,33427
0,4,33716
0,3,33987
0,2,34324
1,2,34660
1,3,34980
1,2,35358
1,1,35716
2,1,36099
3,1,36341
