x,y,t
0,0,0
1,0,4468
2,0,4617
3,0,5242
4,0,5365
5,0,5503
6,0,5661
7,0,5807
8,0,5957
9,0,6101
9,1,6835
9,2,7041
9,3,7186
9,4,7347
9,5,7502
9,6,7654
9,7,7804
9,8,7944
8,8,8701
8,9,9039
8,8,10053
8,7,10405
8,6,10553
8,5,10751
8,4,10894
7,4,12111
7,5,12504
7,4,13214
6,4,13533
5,4,13742
5,5,15867
5,6,16418
6,6,16696
6,7,17309
7,7,17576
6,7,18381
6,8,18623
6,9,18883
5,9,19705
4,9,20785
3,9,20921
2,9,21112
1,9,21245
0,9,21429
0,8,22492
1,8,22929
2,8,23114
3,8,23268
3,7,23713
4,7,24100
5,7,24606
5,8,25081
5,7,25463
5,6,25620
5,5,25795
4,5,26933
5,5,27424
4,5,28216
4,6,28901
3,6,29418
3,5,29775
3,4,30290
3,3,30669
4,3,31336
5,3,31512
6,3,31980
6,2,33434
7,2,33890
7,1,35546
8,1,35927
8,2,36637
7,2,36947
6,2,37076
5,2,37595
5,1,37962
5,2,38509
4,2,38941
4,3,39462
3,3,39876
2,3,40053
1,3,40209
2,3,41212
3,3,41363
2,3,42162
1,3,42318
0,3,42481
0,4,43481
0,5,43642
0,6,43780
0,7,43948
0,8,44106
1,8,44634
2,8,45071
2,7,45552
2,6,45717
1,6,46351
1,7,46722
2,7,47036
3,7,47200
4,7,47376
4,6,47818
4,5,47992
3,5,48547
3,4,49661
2,4,50683
1,4,51069
1,3,51499
1,2,51633
1,1,52070
2,1,52874
3,1,53035
2,1,53566
1,1,53724
1,2,54498
0,2,54822
