x,y,t
0,0,0
1,0,1196
1,1,1995
2,1,2418
2,0,2973
3,0,4405
3,1,4997
3,0,5522
4,0,6387
5,0,6753
5,1,7541
5,0,7969
6,0,9389
7,0,9699
8,0,9921
9,0,10155
9,1,10831
8,1,12284
7,1,12682
7,2,14653
8,2,15210
9,2,15642
9,3,17405
9,4,17756
9,5,18017
9,6,18260
9,7,18476
9,8,18684
8,8,19596
8,9,20061
8,8,20619
8,7,21655
8,6,22020
8,5,22203
8,4,22394
7,4,23341
6,4,23561
6,3,24323
6,2,24502
5,2,25141
5,3,25716
5,4,25961
5,5,26515
5,4,27483
5,3,27894
5,4,28374
6,4,28782
7,4,29160
7,5,30113
7,4,30668
6,4,31383
5,4,31791
5,5,32294
5,6,32692
6,6,33300
6,7,34099
7,7,34536
6,7,35406
5,7,35741
5,8,36637
6,8,37077
6,9,37713
5,9,38271
4,9,39671
3,9,40062
3,8,40651
3,7,40992
4,7,41522
4,6,41999
4,5,42263
3,5,43826
3,4,45367
3,3,45792
4,3,46332
4,2,46854
4,3,47817
3,3,48417
2,3,48691
1,3,49033
1,2,49719
0,2,50345
0,3,50953
0,4,52413
1,4,52854
2,4,53219
1,4,54078
0,4,54413
0,5,54914
0,6,55425
1,6,55930
2,6,56211
3,6,56514
2,6,57313
2,7,57857
1,7,58415
0,7,58815
0,8,59357
1,8,60365
2,8,61961
2,9,62483
1,9,63123
0,9,63481
