x,y,t
0,0,0
1,0,2091
1,1,2344
2,1,2543
3,1,2883
3,0,6413
2,0,6578
3,0,6818
4,0,7020
5,0,7194
6,0,7373
7,0,7554
8,0,7719
9,0,7896
9,1,8345
8,1,8585
7,1,8764
7,2,9363
8,2,9672
9,2,9898
9,3,10132
9,4,10376
8,4,10622
7,4,10823
6,4,10978
6,3,11231
6,2,11494
5,2,11728
5,1,11965
5,2,12238
4,2,12434
4,3,12767
5,3,13057
5,4,13258
5,5,13577
4,5,13845
3,5,14066
3,4,14525
3,3,14682
2,3,14922
1,3,15110
1,2,15562
0,2,15761
0,3,16088
0,4,16375
1,4,16644
2,4,16857
1,4,17171
0,4,17369
0,5,17591
0,6,17793
0,7,17983
0,8,18185
0,9,18367
1,9,19452
1,8,19751
1,7,19966
1,6,20132
2,6,20363
2,7,20639
2,8,20834
2,9,20998
3,9,21269
3,8,21984
3,7,22141
3,6,22297
4,6,22648
4,7,22917
5,7,23221
5,8,23598
5,9,23844
4,9,24056
5,9,24285
6,9,24489
6,8,25015
6,7,25187
6,6,25343
5,6,25576
6,6,25830
6,7,26090
7,7,26261
8,7,26452
9,7,26658
9,8,26944
8,8,27298
8,9,27518
8,8,27759
8,7,28262
8,6,28341
8,5,28666
9,5,28937
9,6,29181
9,5,29576
8,5,29773
7,5,29936
