x,y,t
0,0,0
1,0,11360
2,0,11616
3,0,11806
4,0,11981
5,0,12175
6,0,12579
7,0,12769
8,0,13114
9,0,13332
9,1,13664
9,2,14453
9,3,14951
9,4,14982
9,5,15013
9,6,15044
9,7,15075
9,8,15106
8,8,16433
8,9,17073
8,8,17544
8,7,20913
8,6,21454
8,5,21781
8,4,24273
7,4,24693
7,5,25017
7,4,25343
6,4,25668
5,4,25894
5,5,26493
5,6,26981
6,6,27851
6,7,28133
7,7,28457
6,7,28811
6,8,29323
6,9,29809
5,9,30113
5,8,32952
5,7,33250
4,7,39932
3,7,40172
2,7,40388
1,7,40751
1,6,41201
2,6,41651
3,6,41868
4,6,42082
4,5,42517
3,5,42972
3,4,46013
3,3,47387
4,3,47711
5,3,47994
6,3,48200
6,2,48579
7,2,48873
8,2,49125
8,1,49415
8,0,49725
7,0,50222
7,1,50446
7,0,51292
6,0,51586
5,0,51782
5,1,52042
5,2,52266
4,2,52577
4,3,53068
3,3,53331
2,3,53537
1,3,54008
1,2,54457
1,1,54674
2,1,54939
3,1,55138
2,1,55554
1,1,55770
1,2,56179
0,2,56475
0,3,56871
0,4,57204
1,4,57620
2,4,57820
1,4,58047
0,4,58230
0,5,58516
0,6,58727
0,7,58912
0,8,59097
0,9,59516
1,9,59788
2,9,59974
1,9,60624
1,8,60866
2,8,61275
2,9,61608
3,9,61885
4,9,62828
3,9,63554
3,8,63822
