x,y,t
0,0,0
1,0,3739
1,1,5205
1,2,5804
0,2,6934
0,3,8620
1,3,10688
2,3,10984
3,3,11381
3,4,12006
2,4,13595
1,4,13838
0,4,14220
0,5,14622
0,6,15289
0,7,15808
0,8,16202
0,9,16554
1,9,17472
1,8,17873
1,7,18158
1,6,18532
2,6,19439
2,7,19775
2,8,20092
2,9,20439
3,9,21239
3,8,21624
3,7,21885
3,6,22178
4,6,23339
4,7,23738
5,7,26624
5,8,27084
5,9,27474
4,9,27827
5,9,29040
6,9,29407
6,8,29827
6,7,30262
7,7,31761
8,7,32163
8,8,32516
8,9,33066
8,8,33463
9,8,34713
9,7,35245
9,6,35491
8,6,36568
8,5,36807
9,5,38078
9,4,38393
9,3,38579
9,2,38759
9,1,38941
9,0,39143
8,0,39694
8,1,40375
8,2,40760
7,2,41079
6,2,41475
6,3,41759
6,4,42146
7,4,43805
8,4,44092
8,5,44533
7,5,44979
7,4,45559
6,4,45939
5,4,46247
5,5,46715
5,6,47060
6,6,48563
5,6,49290
5,5,49644
4,5,49998
3,5,50228
3,4,50914
3,3,51297
4,3,52400
5,3,52664
5,2,53131
5,1,53462
5,0,53782
6,0,54496
7,0,54748
7,1,55498
7,0,56629
6,0,57045
5,0,58115
4,0,58345
3,0,58608
2,0,59844
2,1,60165
3,1,61147
3,0,61615
4,0,62428
5,0,62818
5,1,63293
5,2,63616
4,2,63952
