x,y,t
0,0,0
1,0,3874
2,0,4056
3,0,4206
4,0,4354
5,0,4502
6,0,4653
7,0,4804
8,0,4984
9,0,5187
9,1,6103
8,1,6532
7,1,6936
8,1,9531
9,1,9746
9,2,10296
8,2,10709
7,2,10939
6,2,11369
5,2,11735
4,2,12085
4,3,14407
5,3,15051
4,3,16827
5,3,17989
5,4,18838
6,4,19349
6,3,19723
6,4,21058
7,4,21384
8,4,21666
9,4,22121
9,3,22532
9,4,23100
9,5,23301
9,6,23467
9,7,23634
9,8,23790
8,8,24378
8,7,24849
8,6,25070
8,5,25252
8,4,25443
7,4,26625
7,5,27226
8,5,28004
8,6,28365
8,7,28789
7,7,29265
6,7,29739
6,8,30454
6,7,31440
7,7,31857
8,7,32050
9,7,32239
9,8,32869
8,8,33267
8,9,33921
8,8,34906
8,7,35298
7,7,35698
6,7,35909
5,7,36833
6,7,37612
6,8,38079
6,9,38276
5,9,38708
5,8,39581
5,9,40405
4,9,40789
3,9,40979
2,9,41143
1,9,41299
0,9,41460
0,8,43274
1,8,43743
2,8,43941
3,8,44123
2,8,46148
1,8,46354
0,8,46534
0,7,47005
1,7,47523
2,7,47748
3,7,47920
4,7,48103
4,6,49079
5,6,49479
6,6,49793
6,7,50433
6,6,51312
5,6,51718
5,5,52100
4,5,52650
3,5,53436
3,6,53942
2,6,54298
1,6,54517
0,6,54702
0,5,55160
0,4,55429
0,3,55554
0,4,56374
1,4,56736
2,4,57003
3,4,57254
3,3,57727
2,3,58540
1,3,58845
1,2,60142
0,2,60545
1,2,61085
1,1,61993
2,1,62548
3,1,62790
3,0,64190
4,0,64564
5,0,64782
5,1,65175
