x,y,t
0,0,0
1,0,1756
1,1,3783
2,1,4154
2,0,4590
3,0,6060
3,1,6200
3,0,6508
4,0,6847
5,0,8348
6,0,9006
7,0,9715
8,0,9913
9,0,10094
9,1,10619
9,2,11092
8,2,11347
8,1,11686
7,1,11999
7,2,12322
6,2,13483
6,3,13834
6,4,14170
7,4,15132
8,4,15730
9,4,16481
9,3,16635
9,4,16907
9,5,17216
9,6,17913
9,7,18161
9,8,18329
8,8,20858
8,9,21161
8,8,21471
8,7,21743
8,6,22174
8,5,22646
7,5,22885
8,5,23254
8,6,23624
8,7,23896
7,7,23967
6,7,25072
6,8,25340
6,9,25832
5,9,26068
4,9,26582
3,9,26616
2,9,26650
1,9,26686
0,9,26717
0,8,27070
1,8,27328
2,8,27560
3,8,27771
3,7,28409
2,7,28722
1,7,28969
0,7,29164
0,6,29552
1,6,29887
2,6,30124
3,6,30318
4,6,30471
4,7,30892
5,7,31222
5,8,31491
5,7,31826
5,6,32090
6,6,32570
5,6,32767
5,5,33046
4,5,33484
3,5,33740
3,4,34234
2,4,34480
1,4,36000
0,4,36217
0,5,36567
0,4,36804
0,3,37000
0,2,37808
1,2,38096
1,3,38312
2,3,38688
3,3,39023
4,3,40002
4,2,40305
5,2,40793
5,1,41092
5,2,41323
5,3,41806
5,4,42291
