x,y,t
0,0,0
1,0,5544
1,1,7002
2,1,8102
2,0,8480
3,0,17857
3,1,18264
2,1,19762
1,1,20239
1,2,21277
0,2,21985
0,3,25244
1,3,31242
2,3,31639
3,3,32050
4,3,32491
5,3,40291
5,4,41472
6,4,44637
7,4,45399
8,4,45834
9,4,46965
9,3,48053
9,2,48493
9,1,51912
9,0,53446
8,0,55033
7,0,55426
6,0,55785
5,0,56165
4,0,56628
5,0,57800
5,1,58194
5,2,61972
4,2,62451
5,2,63246
5,1,77278
5,0,77559
6,0,78912
7,0,79983
7,1,81616
8,1,83018
8,2,84063
7,2,85798
6,2,86252
6,3,87078
6,4,88877
7,4,89648
7,5,91798
8,5,93616
9,5,94160
9,6,95790
8,6,97043
8,7,105485
9,7,107725
9,8,108992
8,8,110229
8,9,110720
8,8,111399
8,7,111972
7,7,113095
6,7,117756
6,6,119205
5,6,120480
5,5,120882
4,5,122271
3,5,124004
3,4,124511
2,4,125468
1,4,125850
0,4,126272
0,5,127132
0,6,127876
1,6,130433
2,6,131274
3,6,131729
4,6,132193
4,7,132982
5,7,133360
6,7,137064
6,8,137557
6,9,138064
5,9,142935
5,8,143617
5,7,144970
4,7,145309
3,7,145667
2,7,146008
1,7,146362
0,7,146704
0,8,147956
0,9,148359
1,9,149498
1,8,150255
2,8,151131
2,9,152222
3,9,155656
4,9,157191
3,9,157701
3,8,158507
