x,y,t
0,0,0
1,0,15003
2,0,15439
3,0,16519
3,1,18017
2,1,18483
1,1,19298
1,2,19748
0,2,20198
0,3,28521
1,3,30120
2,3,30570
3,3,31103
3,4,31540
2,4,32172
1,4,32571
0,4,33122
0,5,33619
0,6,43871
0,7,44318
0,8,44734
0,9,47179
1,9,47613
1,8,48046
1,7,48462
1,6,49095
2,6,49827
3,6,60168
3,5,60814
4,5,61380
4,6,62263
4,7,62662
3,7,63494
2,7,63826
2,8,65192
2,9,69638
3,9,72501
3,8,73099
3,9,73634
4,9,73981
5,9,75181
6,9,76694
6,8,77113
5,8,77629
5,7,82640
6,7,84004
6,6,84472
5,6,85237
5,5,87616
5,4,90946
6,4,92021
7,4,93325
7,5,97171
8,5,97920
8,6,98502
8,7,101067
7,7,101467
8,7,103215
8,8,103731
8,9,104162
8,8,104865
9,8,105179
9,7,105911
9,6,106228
9,5,106760
9,4,107711
8,4,108472
9,4,108891
9,3,110023
9,2,111688
9,1,112170
9,0,113154
8,0,113934
7,0,118148
7,1,118664
8,1,119413
8,2,119828
7,2,120859
6,2,121309
6,3,122573
5,3,123540
4,3,124155
4,2,124555
5,2,125287
5,1,126769
5,0,129014
6,0,129415
5,0,130200
4,0,130398
