x,y,t
0,0,0
1,0,20791
1,1,21455
2,1,21874
2,0,22282
2,1,41395
3,1,41619
3,0,41950
4,0,42269
5,0,43810
5,1,44349
5,0,45368
6,0,45703
7,0,45895
8,0,46080
9,0,46298
9,1,47216
8,1,47585
7,1,47799
7,2,48387
8,2,48691
9,2,48849
9,3,49229
9,4,49397
9,5,49574
9,6,49768
9,7,49959
9,8,50570
8,8,50915
8,9,51161
8,8,52129
8,7,53211
8,6,53695
8,5,54071
8,4,56068
7,4,57390
7,5,59583
7,4,59856
6,4,60129
6,3,60789
6,2,61312
5,2,61640
4,2,62012
4,3,62355
5,3,62633
5,4,62982
5,5,63506
4,5,64317
4,6,64619
4,7,65261
5,7,65527
5,6,65802
6,6,66079
6,7,66363
7,7,67167
6,7,67482
6,8,67772
6,9,68227
5,9,69292
5,8,70537
5,9,70901
4,9,71202
3,9,71429
2,9,71694
1,9,71861
0,9,72061
0,8,72342
1,8,72613
2,8,72769
3,8,72920
3,7,73219
2,7,73525
1,7,73707
0,7,73869
0,6,74209
1,6,74707
2,6,74877
3,6,75101
3,5,75764
3,4,75940
3,3,77385
2,3,77941
2,4,78510
1,4,78901
1,3,79185
1,2,79363
0,2,79612
0,3,79902
0,4,80052
0,5,80219
