x,y,t
0,0,0
1,0,4448
1,1,4835
1,2,6558
2,2,6871
2,3,10653
2,4,11354
3,4,11600
4,4,11881
4,3,12167
5,3,12450
6,3,12767
6,2,13018
7,2,13291
7,1,14969
7,0,15361
6,0,15692
5,0,15929
5,1,16230
4,1,16464
3,1,16711
4,1,16995
5,1,17203
5,0,17658
6,0,18017
7,0,18360
8,0,18660
9,0,18916
10,0,19138
11,0,19348
11,1,19608
11,2,19844
11,3,20084
10,3,20489
10,2,20806
10,1,21287
9,1,21525
8,1,22576
8,2,22876
9,2,23449
8,2,23638
8,3,23834
7,3,24341
7,4,26055
6,4,26791
5,4,27105
5,5,27570
4,5,27870
3,5,28093
2,5,28366
1,5,28832
1,4,29161
1,3,29492
0,3,29760
0,2,30045
0,1,30375
0,2,30704
0,3,30899
0,4,31094
0,5,31533
0,6,31845
0,7,32100
0,8,32323
0,9,32518
0,10,32714
0,11,32923
1,11,33477
2,11,33899
3,11,34231
3,10,34500
2,10,34755
2,9,34993
3,9,35326
3,8,35610
4,8,35882
4,7,36134
4,6,36435
3,6,36675
2,6,36946
1,6,37216
1,7,37530
1,6,37770
2,6,38042
3,6,38625
4,6,38834
5,6,39016
5,7,39361
5,8,39570
5,9,39978
4,9,40260
5,9,40592
6,9,40951
6,10,41203
6,11,41483
7,11,41791
8,11,42029
9,11,42253
10,11,42478
11,11,42736
11,10,43199
10,10,43561
9,10,43784
8,10,43993
7,10,44338
7,9,44641
7,8,44957
6,8,45211
6,7,45466
6,6,45736
6,5,46035
7,5,46351
7,4,46665
8,4,47234
8,5,47566
9,5,47926
10,5,48194
11,5,48419
11,6,48720
11,7,48974
11,8,49212
11,9,49457
10,9,49693
9,9,49935
8,9,50175
8,8,50509
8,7,50850
7,7,51121
7,6,51390
8,6,51675
9,6,51916
10,6,52169
10,7,52424
10,8,52741
9,8,53086
9,7,53324
