x,y,t
0,0,0
1,0,884
1,1,1112
0,1,1328
0,2,1603
0,3,2107
0,4,2138
0,5,2168
0,6,2216
0,7,2246
0,8,2278
0,9,2307
0,10,2335
0,11,2366
1,11,2688
2,11,2888
2,10,3120
3,10,3354
3,9,3755
4,9,3928
5,9,4430
6,9,4474
7,9,4503
8,9,4533
9,9,4564
10,9,4594
11,9,4640
11,10,4795
10,10,4912
9,10,5272
8,10,5617
7,10,5809
6,10,5984
6,11,6232
7,11,6362
8,11,6592
9,11,6816
10,11,7008
11,11,7202
11,10,7416
11,9,7619
11,8,7776
10,8,8018
9,8,8526
8,8,8555
7,8,8585
6,8,8615
5,8,8663
4,8,8691
3,8,8722
4,8,9057
4,7,9216
5,7,9417
6,7,9922
7,7,9952
8,7,9983
9,7,10029
10,7,10060
11,7,10094
11,6,10216
10,6,10384
9,6,10895
8,6,10926
7,6,10956
6,6,10987
5,6,11018
4,6,11063
3,6,11093
2,6,11123
1,6,11153
0,6,11184
1,6,11633
1,7,11816
1,6,12090
1,5,12596
1,4,12627
1,3,12657
1,2,12687
1,1,12900
1,2,13376
2,2,13570
2,3,14146
2,4,14346
2,5,14520
3,5,14664
4,5,15174
5,5,15205
6,5,15236
7,5,15265
8,5,15311
9,5,15341
10,5,15371
11,5,15401
10,5,15624
9,5,15952
8,5,16168
8,4,16435
7,4,16610
6,4,16856
5,4,17035
4,4,17192
3,4,17392
4,4,17642
4,3,17848
5,3,18051
6,3,18272
7,3,18435
8,3,18625
8,2,18827
7,2,18968
6,2,19154
7,2,19408
7,1,19762
7,0,19960
6,0,20168
5,0,20498
5,1,20747
4,1,20906
3,1,21106
4,1,21304
5,1,21538
5,0,21915
6,0,22104
7,0,22619
8,0,22647
9,0,22678
10,0,22708
11,0,22739
11,1,23002
11,2,23225
11,3,23424
10,3,23576
10,2,23776
10,1,23976
9,1,24170
8,1,24385
9,1,24674
9,2,24850
8,2,26097
8,3,26512
8,4,27023
8,5,27065
8,6,27095
8,7,27126
8,8,27156
8,9,27186
8,10,27231
8,11,27261
7,11,27433
7,10,27818
6,10,28016
6,9,28314
5,9,28496
4,9,28874
3,9,29051
2,9,29259
3,9,29548
3,10,29808
3,11,29995
