x,y,t
0,0,0
1,0,578
1,1,1132
0,1,1596
0,2,2024
0,3,2134
0,4,3998
0,5,4152
0,6,4284
0,7,4562
0,8,4717
0,9,5110
0,10,5258
0,11,5593
1,11,6178
2,11,6420
3,11,6715
3,10,7097
2,10,7408
2,9,7711
3,9,8127
3,8,8483
4,8,9192
4,7,9787
4,6,10691
3,6,11079
2,6,11368
1,6,11713
1,7,12117
1,6,12384
1,5,12608
1,4,12890
1,3,13200
1,2,13564
2,2,13940
2,3,14612
2,4,14962
2,5,15442
3,5,15820
3,4,16258
4,4,16582
5,4,17017
4,4,17687
3,4,17899
4,4,18339
4,3,18544
5,3,18944
6,3,19128
7,3,19368
7,2,19704
6,2,19956
7,2,20341
7,1,20584
7,0,21277
6,0,21661
5,0,21899
5,1,22239
4,1,22503
3,1,22785
4,1,22979
5,1,23150
5,0,23489
6,0,23824
7,0,23983
8,0,24125
9,0,24277
10,0,24436
11,0,24624
11,1,24980
11,2,25300
11,3,25511
10,3,25898
10,2,26094
10,1,26348
9,1,26688
8,1,26989
9,1,27631
9,2,28016
8,2,28312
8,3,28699
8,4,29413
8,5,29875
9,5,30107
10,5,30301
11,5,30783
11,6,31068
11,7,31208
11,8,31334
11,9,31453
11,10,31583
11,11,31708
10,11,32063
9,11,32208
8,11,32333
7,11,32467
6,11,32608
6,10,33163
6,9,33421
5,9,33739
4,9,34040
5,9,34378
5,8,34632
5,7,34939
5,6,35161
5,5,35527
4,5,35977
5,5,36319
5,4,37054
6,4,37262
7,4,37661
7,5,37975
6,5,38426
6,6,38696
6,7,39065
6,8,39406
6,9,40324
6,10,40549
7,10,40776
8,10,41017
9,10,41312
10,10,41605
10,9,42018
10,8,42600
10,7,42894
10,6,43296
9,6,43718
8,6,44022
7,6,44340
7,7,44729
7,8,45064
7,9,45369
8,9,45688
9,9,46043
9,8,46469
9,7,46782
8,7,47142
8,8,47507
