x,y,t
0,0,0
1,0,1809
1,1,2654
0,1,3086
1,1,3554
1,2,5147
0,2,6230
0,3,6739
0,4,7105
0,5,7446
0,6,7743
0,7,7999
0,8,8272
0,9,11350
0,10,11608
0,11,11857
1,11,12422
2,11,12815
3,11,13150
3,10,13717
2,10,14452
2,9,14947
3,9,15436
4,9,15948
5,9,16252
6,9,16490
6,10,17137
6,11,17459
7,11,17876
8,11,18377
9,11,18410
10,11,18443
11,11,18474
11,10,19284
10,10,21120
9,10,21328
8,10,21539
7,10,21766
7,9,22285
8,9,22719
9,9,22985
10,9,23211
11,9,23411
11,8,23854
11,7,24189
11,6,24472
11,5,24725
10,5,25397
9,5,25679
10,5,27072
10,6,27599
9,6,28066
9,7,28934
10,7,29438
10,8,30001
9,8,30524
8,8,31129
7,8,31507
6,8,31705
5,8,32209
4,8,32243
3,8,32273
4,8,33743
4,7,34131
5,7,34648
6,7,34916
7,7,35165
8,7,35404
8,6,35949
7,6,36495
6,6,36739
5,6,36975
4,6,37191
3,6,37395
2,6,37630
1,6,37847
1,7,38899
1,6,39261
1,5,39556
0,5,40102
1,5,40679
2,5,40983
3,5,41276
4,5,41514
5,5,41755
6,5,41985
7,5,42268
8,5,42525
8,4,43100
7,4,43577
6,4,43880
5,4,44082
4,4,44314
3,4,44524
2,4,44748
1,4,44964
1,3,45514
2,3,45966
2,2,46414
2,3,47266
2,4,47657
3,4,48062
4,4,48818
4,3,49496
5,3,49982
6,3,50414
7,3,50765
8,3,51090
8,2,51908
7,2,52300
6,2,52602
7,2,53192
8,2,53654
9,2,54155
10,2,54187
11,2,54221
11,3,54735
10,3,55347
10,2,57527
10,1,57793
11,1,58322
11,0,59073
10,0,59916
9,0,60213
9,1,60869
8,1,61750
7,1,62267
7,0,63457
8,0,64005
7,0,65019
6,0,65246
5,0,65491
5,1,66258
4,1,66614
3,1,66882
