x,y,t
0,0,0
1,0,4225
1,1,4688
0,1,5297
0,2,8730
0,3,9050
0,4,9212
0,5,9384
0,6,9556
0,7,9728
0,8,9910
0,9,10095
0,10,10262
0,11,10442
1,11,11329
2,11,11571
3,11,12054
3,10,12546
2,10,13162
2,9,13942
3,9,14447
3,8,14928
4,8,17256
4,7,17727
4,6,23064
3,6,23720
2,6,23878
1,6,24313
1,7,25213
1,6,27223
1,5,28703
2,5,29691
3,5,30135
4,5,30450
4,4,31103
3,4,31864
2,4,32063
1,4,32243
1,3,33827
1,2,35648
2,2,37891
2,3,38429
2,4,39366
3,4,40583
4,4,40829
5,4,41142
4,4,43531
4,3,44027
5,3,44759
6,3,45376
6,2,46144
7,2,48573
7,1,48988
7,0,49203
6,0,49886
5,0,50366
5,1,51226
4,1,51903
3,1,52098
4,1,52797
5,1,52985
5,0,53483
6,0,53826
7,0,54327
8,0,54411
9,0,54496
10,0,54581
11,0,54662
11,1,55383
10,1,56179
9,1,56391
8,1,56564
8,2,57216
9,2,57569
10,2,57767
11,2,57955
11,3,58620
10,3,59342
10,2,59851
9,2,60379
8,2,60792
8,3,61556
7,3,61936
6,3,62878
6,4,63745
7,4,64072
8,4,64248
7,4,65636
6,4,65825
5,4,66278
5,5,66984
5,6,67513
5,5,68238
6,5,68573
7,5,68950
8,5,69126
9,5,69296
10,5,69480
11,5,69650
11,6,70270
10,6,70872
9,6,71074
8,6,71244
7,6,71433
6,6,71615
5,6,71799
5,7,72570
6,7,72918
7,7,73325
8,7,73554
9,7,73776
10,7,73952
11,7,74193
11,8,74767
10,8,75649
9,8,75688
8,8,75690
7,8,75834
6,8,76021
5,8,76201
4,8,77423
4,9,77976
5,9,78355
6,9,78560
7,9,78731
8,9,78893
9,9,79108
10,9,79405
11,9,79687
11,10,80338
10,10,80920
9,10,81091
8,10,81263
7,10,81455
6,10,81676
6,11,82517
7,11,83008
8,11,83509
9,11,83594
10,11,83678
11,11,83761
