x,y,t
0,0,0
0,1,7300
0,2,7682
0,3,8032
0,4,8348
0,5,9031
0,6,9716
0,7,10099
0,8,10510
0,9,11466
0,10,11983
0,11,12549
1,11,14133
2,11,25718
2,10,26935
2,9,27651
3,9,28668
3,8,30520
4,8,31951
4,7,39275
4,6,44455
3,6,45618
2,6,46435
1,6,47052
1,7,48169
1,6,49135
1,5,51588
1,4,53809
1,3,57371
1,2,57953
1,1,58402
1,0,58853
1,1,60470
1,2,61036
2,2,62136
2,3,63170
2,4,63870
2,5,68020
3,5,68903
3,4,69904
4,4,72537
4,3,74138
5,3,75354
6,3,76670
6,2,77617
7,2,79204
7,1,80290
7,0,83160
6,0,84105
5,0,84601
5,1,86570
4,1,87265
3,1,87787
4,1,89909
5,1,90688
5,0,93436
6,0,94705
7,0,95237
8,0,95718
9,0,97005
10,0,97398
11,0,97754
11,1,98988
11,2,99468
11,3,99934
10,3,101118
10,2,101805
10,1,102317
9,1,103522
8,1,106539
9,1,110173
9,2,111272
8,2,113906
8,3,115807
7,3,117056
7,4,120523
6,4,123191
5,4,124140
5,5,130491
4,5,131539
5,5,136407
5,6,139407
5,7,139856
5,8,140290
5,9,140855
4,9,142307
3,9,144191
3,10,145074
3,11,145591
3,10,146408
3,9,146869
4,9,148225
5,9,148657
6,9,150958
6,10,152225
6,11,152721
7,11,153504
8,11,153923
9,11,154290
10,11,154590
11,11,154891
11,10,155774
11,9,156124
11,8,156441
11,7,156742
11,6,157024
11,5,157543
10,5,158825
9,5,159337
8,5,160742
8,4,161726
8,5,162908
7,5,163558
6,5,164192
6,6,165336
6,7,165856
6,8,167359
7,8,169476
7,9,170642
7,10,171343
8,10,172037
9,10,173175
10,10,173758
10,9,174859
10,8,175373
10,7,175793
10,6,176345
9,6,177527
8,6,178309
7,6,178943
7,7,180143
8,7,180726
9,7,181593
9,8,182688
9,9,183860
8,9,184794
8,8,185443
