x,y,t
0,0,0
0,1,4945
0,2,5458
0,3,5487
0,4,5517
0,5,5549
0,6,5579
0,7,5607
0,8,5638
0,9,5670
0,10,5699
0,11,5730
1,11,6697
2,11,7096
3,11,7533
3,10,7953
2,10,8379
2,9,8804
3,9,9327
3,8,10403
4,8,11087
4,9,11656
5,9,12610
5,8,13008
6,8,13447
6,9,14088
6,10,14373
6,11,14783
7,11,15316
8,11,15826
9,11,15857
10,11,15889
11,11,15920
11,10,16403
10,10,16871
9,10,17148
8,10,17369
7,10,17600
7,9,17988
8,9,18448
9,9,18959
10,9,18991
11,9,19020
11,8,19414
10,8,19929
9,8,20250
8,8,20812
7,8,21278
7,7,22921
6,7,23402
5,7,23780
4,7,24198
4,6,24608
3,6,25003
2,6,25395
1,6,26111
1,7,26418
1,6,27601
1,5,28085
1,4,28115
1,3,28146
1,2,28177
1,1,28208
1,0,28238
1,1,28928
1,2,29313
2,2,29836
2,3,30170
2,4,30464
2,5,30896
3,5,31291
3,6,33651
4,6,34784
4,7,35087
5,7,35403
6,7,35914
7,7,35945
8,7,35976
9,7,36007
10,7,36038
11,7,36070
11,6,36529
10,6,37080
9,6,37595
8,6,37621
7,6,37650
6,6,37982
5,6,38302
4,6,38670
4,5,38947
5,5,39277
6,5,39781
7,5,39833
8,5,39840
9,5,39870
10,5,39907
11,5,39930
10,5,40519
9,5,40873
8,5,41116
8,4,41452
7,4,41939
6,4,42170
5,4,42368
4,4,42604
3,4,42932
4,4,43270
4,3,43674
5,3,44141
6,3,44427
7,3,44630
8,3,45254
8,2,46186
9,2,46631
10,2,48497
10,3,48808
11,3,49258
11,2,49923
11,1,50436
11,0,50470
10,0,51111
10,1,51446
9,1,51783
9,0,52254
8,0,52712
8,1,53356
7,1,54526
7,2,54846
6,2,55446
7,2,56452
7,1,57029
7,0,57329
6,0,57819
5,0,58276
5,1,58576
4,1,58935
3,1,59250
