x,y,t
0,0,0
1,0,1423
1,1,1779
0,1,2042
0,2,2427
1,2,2744
1,3,3099
0,3,3417
0,4,3751
1,4,4085
1,5,4396
0,5,4690
0,6,5004
1,6,5301
1,7,5614
0,7,5903
0,8,6212
0,9,6676
0,10,7002
0,11,7358
1,11,7651
2,11,7954
3,11,8302
3,10,8922
2,10,9262
2,9,9588
3,9,10085
3,8,11039
4,8,11655
4,9,11954
5,9,12474
5,8,13274
6,8,13627
6,9,13933
6,10,14246
6,11,14647
7,11,15001
8,11,15371
9,11,15941
10,11,16231
11,11,16579
11,10,17758
11,9,18641
10,9,19070
10,10,19422
9,10,19732
9,9,20100
8,9,20480
8,10,20826
7,10,21175
7,9,21503
7,8,21850
8,8,22187
9,8,22589
10,8,22931
11,8,23374
11,7,23720
11,6,24098
11,5,24447
10,5,24783
10,6,25239
10,7,25648
9,7,25948
9,6,27524
9,5,27956
8,5,28405
8,6,28849
8,7,29213
7,7,29479
7,6,30020
7,5,30389
6,5,30741
6,6,31278
6,7,31675
5,7,31956
5,6,32556
5,5,32914
5,6,36842
4,6,37256
4,7,37957
4,6,38284
3,6,38621
2,6,39011
2,5,39283
2,4,39802
2,3,40470
2,2,40916
2,3,41230
2,4,41534
3,4,42119
3,5,42332
4,5,42615
4,4,42920
4,3,43327
5,3,43659
5,4,43969
6,4,44256
6,3,44562
7,3,44921
7,4,45311
8,4,45603
8,3,45941
8,2,46709
7,2,48154
6,2,48380
7,2,51031
7,1,51376
7,0,51989
6,0,52251
5,0,52475
5,1,52804
4,1,53021
3,1,53262
4,1,53540
5,1,53794
5,0,54102
6,0,54440
7,0,54715
8,0,55191
8,1,55424
9,1,55816
9,0,56082
10,0,56415
11,0,56683
11,1,57185
10,1,57897
9,1,58684
9,2,58941
10,2,59255
11,2,59503
11,3,59743
10,3,59932
