x,y,t
0,0,0
0,1,1094
0,2,1288
0,3,1497
0,4,1682
0,5,1873
0,6,2076
0,7,2245
0,8,2431
0,9,2623
0,10,2798
0,11,3056
1,11,3520
2,11,3908
3,11,4334
3,10,4773
2,10,5282
2,9,5548
3,9,6519
4,9,6804
5,9,8282
6,9,8565
6,10,9253
6,11,9589
7,11,10409
8,11,10660
9,11,10872
10,11,11047
11,11,11233
11,10,11809
10,10,12479
9,10,12880
8,10,13062
7,10,13220
6,10,13448
6,9,13923
7,9,14390
8,9,14689
9,9,14924
10,9,15121
11,9,15312
11,8,15839
10,8,16326
9,8,16531
8,8,16712
7,8,16908
6,8,17095
5,8,17286
4,8,17483
3,8,17836
4,8,18606
4,7,19349
5,7,19837
6,7,20114
7,7,20337
8,7,20549
9,7,20758
10,7,20959
11,7,21162
11,6,21720
10,6,22227
9,6,22385
8,6,22568
7,6,22765
6,6,22939
5,6,23136
4,6,23410
4,5,23869
5,5,25094
6,5,25388
7,5,25625
8,5,25860
9,5,27667
10,5,27916
11,5,28260
10,5,30012
9,5,31300
8,5,31499
7,5,31685
6,5,31923
5,5,32122
4,5,32308
3,5,32505
3,6,32932
2,6,33512
1,6,33938
1,7,34651
1,6,35080
1,5,35323
2,5,35930
2,4,36391
1,4,36701
2,4,39210
1,4,41489
1,3,42326
1,2,42526
1,1,42745
1,0,42943
1,1,43375
1,2,43582
2,2,44084
2,3,44523
2,4,45357
3,4,45676
4,4,46024
5,4,46919
6,4,47181
5,4,47823
4,4,48391
4,3,48641
5,3,49222
6,3,50053
6,4,50517
7,4,50835
8,4,51350
8,3,51777
7,3,52238
7,2,52894
8,2,53330
9,2,53558
10,2,53754
11,2,53952
11,1,54284
11,2,54776
11,3,54976
10,3,56297
10,2,56596
10,1,56970
11,1,58053
11,0,58436
10,0,59903
10,1,60292
9,1,61399
9,0,61991
8,0,62496
8,1,62908
7,1,63331
7,2,64094
6,2,65330
7,2,66661
7,1,67001
7,0,67169
6,0,67592
5,0,68064
5,1,68480
4,1,68867
3,1,69048
