x,y,t
0,0,0
1,0,3175
1,1,3664
1,2,5088
2,2,5407
2,3,5815
1,3,9496
1,2,9855
1,1,10176
1,0,10440
0,0,10816
0,1,11632
0,2,11855
0,3,12096
0,4,12904
0,5,13480
0,6,15056
0,7,15808
1,7,16232
0,7,17136
0,8,17519
0,9,17784
0,10,18015
0,11,18399
1,11,18792
2,11,19047
3,11,19312
3,10,19704
2,10,20159
2,9,20769
3,9,21401
3,8,23751
4,8,24160
4,9,25832
4,8,26264
4,7,26536
4,6,27608
3,6,28168
2,6,28471
1,6,28720
1,5,29288
1,4,29535
2,4,30359
2,3,30825
2,4,31575
2,5,31984
3,5,32361
4,5,32752
4,4,33335
3,4,33832
4,4,34487
4,3,34903
5,3,37952
6,3,38224
7,3,38464
8,3,38728
8,2,39496
7,2,40008
6,2,40240
7,2,40848
7,1,41215
7,0,41551
6,0,41991
5,0,42263
5,1,42760
4,1,43192
3,1,43472
4,1,44247
5,1,44695
5,0,45056
6,0,45760
7,0,46267
8,0,46296
9,0,46328
10,0,46362
11,0,46396
11,1,47080
10,1,47488
9,1,47752
8,1,48039
8,2,48623
9,2,49383
10,2,49631
11,2,49912
11,3,50311
10,3,50679
10,2,51240
9,2,51631
8,2,52040
8,3,56840
8,4,57536
8,5,58045
8,6,58075
8,7,58095
8,8,58127
8,9,58176
8,10,58209
8,11,58224
9,11,58736
10,11,58984
11,11,59248
11,10,59991
11,9,60264
10,9,61008
9,9,61623
9,10,62128
10,10,62527
10,9,62952
10,8,65328
10,7,65647
10,6,65904
10,5,66271
11,5,66832
11,6,67592
11,7,67855
11,8,68113
10,8,68575
9,8,68831
9,7,69232
9,6,69527
9,5,69840
8,5,70488
7,5,70943
7,4,71296
6,4,71800
5,4,72096
5,5,73031
6,5,73912
5,5,75744
5,6,76216
5,7,76730
5,8,76755
5,9,76782
6,9,77657
6,10,78096
6,11,78591
7,11,79039
7,10,79504
7,9,80010
7,8,80045
7,7,80078
7,6,80640
6,6,81088
6,7,81480
6,8,81840
