x,y,t
0,0,0
0,1,4041
0,2,5211
0,3,5383
0,4,5579
0,5,5773
0,6,5963
0,7,6161
0,8,6355
0,9,6573
0,10,6783
0,11,6991
1,11,7513
2,11,7719
3,11,7893
3,10,8473
2,10,8905
2,9,9215
3,9,9771
3,8,10584
4,8,12110
4,9,12652
5,9,13274
6,9,14143
6,10,15021
6,11,15434
7,11,15905
8,11,16113
9,11,16316
10,11,16493
11,11,16696
11,10,17029
11,9,17397
11,8,17597
11,7,17796
11,6,17998
11,5,18196
10,5,18659
10,6,18993
10,7,19184
10,8,19385
10,9,19573
10,10,19819
9,10,20079
9,9,20364
9,8,20547
9,7,20729
9,6,20915
9,5,21154
8,5,21577
8,6,21919
8,7,22178
8,8,22359
8,9,22571
8,10,22769
7,10,23030
7,9,23314
7,8,23529
7,7,23713
7,6,23968
7,5,24972
7,4,25149
6,4,29395
5,4,29603
4,4,29817
3,4,30018
2,4,30243
1,4,30481
1,5,30851
2,5,31221
3,5,31430
4,5,31611
5,5,31794
6,5,31980
6,6,32290
5,6,32567
4,6,32784
3,6,33018
2,6,33242
1,6,33502
1,7,34182
1,6,34677
2,6,34958
3,6,35138
4,6,35330
4,7,35760
5,7,36066
6,7,36477
6,8,37094
5,8,37411
5,7,37706
5,6,38109
5,5,38307
5,4,38561
4,4,39912
3,4,40119
2,4,40338
2,3,40875
2,2,41051
1,2,41393
1,3,41806
1,2,42071
1,1,42238
1,0,42443
1,1,42742
1,2,43203
1,3,43375
2,3,43815
2,4,44417
3,4,44670
4,4,44856
5,4,45071
5,3,45275
4,3,45692
5,3,45998
6,3,46196
7,3,46416
8,3,46606
8,4,46904
8,3,47193
8,2,47393
7,2,47868
6,2,48057
7,2,48496
8,2,49002
9,2,49257
10,2,49448
11,2,49649
11,3,49844
10,3,50300
10,2,50587
10,1,50858
11,1,51162
11,0,51770
10,0,51953
9,0,52432
8,0,52616
7,0,53492
6,0,53686
5,0,53880
5,1,54667
4,1,54875
3,1,55081
4,1,55326
5,1,55535
5,0,55870
6,0,56264
7,0,56613
7,1,56880
8,1,57166
9,1,57400
