x,y,t
0,0,0
1,0,3683
1,1,4496
0,1,4826
0,2,5476
1,2,6110
2,2,6560
2,3,7327
1,3,8998
0,3,9379
0,4,9929
1,4,13415
2,4,14199
1,4,14628
1,5,15397
2,5,16230
1,5,16662
0,5,17229
0,6,17980
1,6,18629
2,6,19330
1,6,21397
1,7,21863
0,7,22395
0,8,23065
0,9,23646
0,10,24230
0,11,25297
1,11,25846
2,11,26329
3,11,27217
3,10,28097
2,10,28460
2,9,29013
3,9,29797
4,9,30430
5,9,31213
6,9,31829
6,10,32497
6,11,33131
7,11,33678
8,11,34562
9,11,35247
10,11,35762
11,11,36295
11,10,36897
10,10,37312
9,10,37862
8,10,38377
7,10,38879
7,9,39347
8,9,40113
9,9,40611
10,9,41177
11,9,41912
11,8,43531
10,8,44028
9,8,44576
8,8,45180
7,8,46680
6,8,47428
6,7,49114
5,7,49577
4,7,50297
4,8,52962
5,8,53312
4,8,53912
3,8,54612
4,8,55412
4,7,56397
4,6,56947
3,6,58080
4,6,59096
5,6,59777
6,6,60394
7,6,61010
7,7,62612
8,7,63095
9,7,63744
10,7,64328
11,7,64927
11,6,65564
10,6,66144
9,6,66876
8,6,67460
8,5,69680
7,5,70744
6,5,71278
5,5,71810
4,5,72628
3,5,73177
3,4,74548
4,4,75176
5,4,76095
4,4,76694
4,3,77783
5,3,78361
6,3,79445
6,4,80494
7,4,81027
8,4,83146
8,5,84327
9,5,84843
10,5,85343
11,5,85927
10,5,86443
9,5,87228
8,5,87776
8,4,88447
8,3,88978
8,2,89195
8,1,89609
8,0,90179
9,0,90710
10,0,91144
11,0,91376
11,1,92311
11,2,92659
11,3,93160
10,3,94529
10,2,94992
10,1,95795
9,1,96277
9,2,96911
8,2,97427
7,2,98293
7,3,98996
6,3,99574
6,2,100211
7,2,102111
7,1,103147
7,0,104594
6,0,105326
5,0,105977
5,1,106795
4,1,107275
3,1,107743
