x,y,t
0,0,0
0,1,1314
0,2,1475
0,3,1634
0,4,2817
0,5,3010
0,6,3183
0,7,3999
0,8,4159
0,9,4333
0,10,4593
0,11,4775
1,11,5290
2,11,5786
2,10,6191
2,9,6657
3,9,6978
3,10,7443
3,11,7934
3,10,8479
3,9,8659
3,8,8825
4,8,9753
5,8,10155
5,9,10434
4,9,10981
4,8,11419
4,7,11601
4,6,11783
4,5,12154
3,5,12598
2,5,12825
1,5,13000
1,6,13564
1,7,13760
1,6,14349
2,6,14617
3,6,14784
4,6,15812
5,6,15993
6,6,16185
7,6,16350
8,6,16517
9,6,16683
10,6,16835
11,6,17025
11,7,17391
11,8,17536
11,9,17726
11,10,17885
11,11,18075
10,11,18599
9,11,18750
8,11,18918
7,11,19084
6,11,19252
6,10,19613
7,10,20013
8,10,20183
9,10,20384
10,10,20575
11,10,20758
11,9,21106
10,9,21490
9,9,21794
8,9,21967
7,9,22141
6,9,22300
6,8,22758
7,8,23117
8,8,24100
9,8,24360
10,8,24606
10,7,24954
9,7,25321
8,7,25485
7,7,25667
6,7,25843
5,7,26034
5,6,26422
5,5,26567
5,4,26742
5,3,26934
4,3,27532
4,4,27996
3,4,28381
2,4,28831
1,4,29000
1,3,29391
2,3,29703
2,2,30256
1,2,30758
1,1,31124
1,0,31346
1,1,31857
1,2,32067
1,3,32666
1,4,32900
2,4,33481
3,4,33994
4,4,34161
5,4,34351
6,4,34517
7,4,34684
8,4,35071
8,5,35505
7,5,35872
6,5,36362
7,5,37130
8,5,37292
9,5,37451
10,5,37625
11,5,38930
10,5,39596
9,5,39777
8,5,39951
7,5,40114
7,4,40478
7,3,40734
7,2,40892
6,2,41246
6,3,41673
7,3,42142
8,3,42401
8,2,42857
9,2,43202
10,2,43393
11,2,43593
11,3,44308
10,3,44654
10,2,45082
10,1,45246
10,0,45418
11,0,46438
11,1,46839
10,1,47256
9,1,47433
8,1,47583
7,1,47774
7,0,48168
8,0,48468
9,0,49437
8,0,49792
7,0,49957
6,0,50135
5,0,50292
5,1,50766
4,1,51225
3,1,51400
