x,y,t
0,0,0
1,0,8185
1,1,9021
0,1,9385
0,2,11036
0,3,18420
0,4,18635
0,5,18817
0,6,18999
0,7,19185
0,8,19349
0,9,19606
0,10,20023
0,11,20788
1,11,21371
2,11,22371
2,10,23170
2,9,23504
3,9,25354
3,8,25704
4,8,26505
4,7,26874
4,6,27640
3,6,28902
2,6,29220
1,6,30370
1,7,30722
1,6,31254
1,5,31437
1,4,31638
1,3,31855
1,2,33210
2,2,33472
2,3,34240
2,4,34420
2,5,34889
3,5,35722
3,4,36091
4,4,40005
4,5,42972
5,5,48689
5,6,48993
5,7,49208
5,8,49410
5,9,51776
4,9,52072
3,9,52306
3,10,53440
3,11,53638
3,10,53974
3,9,54189
4,9,54539
5,9,54738
6,9,54987
6,10,56190
6,11,56791
7,11,57173
8,11,57390
9,11,57552
10,11,57756
11,11,58157
11,10,59128
10,10,59778
9,10,59949
8,10,60117
7,10,60305
7,9,61175
8,9,62859
9,9,63039
10,9,63221
11,9,63692
11,8,64159
10,8,65560
9,8,65792
8,8,65954
7,8,66139
6,8,66493
6,7,67059
7,7,67326
8,7,67506
9,7,67709
10,7,67889
11,7,68360
11,6,69260
11,5,69644
10,5,70294
10,6,70594
9,6,71110
9,5,71444
8,5,72860
8,6,74094
7,6,74494
7,5,77295
6,5,78561
6,6,78812
6,5,79148
6,4,79930
5,4,80931
4,4,83480
4,3,83762
5,3,84412
6,3,84628
7,3,85844
7,4,86378
8,4,86628
8,3,86862
8,2,88029
9,2,88462
10,2,88929
10,3,89516
11,3,89779
11,2,90112
11,1,90477
11,0,93345
10,0,93679
10,1,94298
9,1,94595
9,0,94896
8,0,95709
8,1,96014
8,2,98113
7,2,98546
6,2,98929
7,2,99879
7,1,100129
7,0,100414
6,0,100824
5,0,102000
5,1,102282
4,1,102629
3,1,103630
