x,y,t
0,0,0
1,0,16329
1,1,16756
0,1,17140
0,2,17624
1,2,18795
2,2,19227
2,3,19682
1,3,22250
0,3,22912
0,4,27266
0,5,27434
0,6,27601
0,7,27748
0,8,27906
0,9,28048
0,10,28209
0,11,28378
1,11,29545
2,11,31059
3,11,31496
3,10,31929
2,10,32340
2,9,32684
3,9,33254
3,8,34554
4,8,35631
4,9,36108
5,9,36531
5,8,37947
6,8,38382
6,9,38854
6,10,39070
6,11,39532
7,11,39866
7,10,40267
7,9,40508
7,8,40875
8,8,41202
8,9,41563
8,10,41886
8,11,42193
9,11,42586
9,10,43052
9,9,43362
9,8,43695
10,8,44071
10,9,44467
10,10,44763
10,11,45125
11,11,45817
11,10,46484
11,9,46817
11,8,47150
11,7,48648
10,7,58403
9,7,58595
8,7,58744
7,7,58918
6,7,59079
5,7,59245
4,7,59651
4,6,60269
5,6,60725
6,6,60918
7,6,61099
8,6,61264
9,6,61433
10,6,61619
11,6,62004
11,5,62731
10,5,63667
9,5,64117
8,5,64555
8,4,65738
8,3,66189
8,2,66821
9,2,71091
10,2,71741
10,3,72241
11,3,72695
11,2,73676
11,1,76954
11,0,77402
10,0,77922
10,1,78379
9,1,78777
9,0,79163
8,0,79631
8,1,80842
7,1,81695
7,0,82157
6,0,82804
5,0,83171
5,1,83677
4,1,84021
3,1,84361
4,1,84763
5,1,85012
5,0,85446
6,0,86151
7,0,86515
7,1,86915
7,2,87407
7,3,87809
7,4,88209
7,5,88717
6,5,89160
6,4,89551
6,3,90008
6,2,90385
6,3,90710
5,3,91037
5,4,91528
4,4,92309
4,3,92639
4,4,93022
4,5,93372
5,5,93697
4,5,94025
3,5,94281
3,4,95148
2,4,96006
2,5,96421
2,6,96871
3,6,97262
2,6,97753
1,6,97988
1,7,98580
1,6,99080
1,5,99250
1,4,99557
