x,y,t
0,0,0
1,0,8393
2,0,8649
3,0,8857
4,0,9017
5,0,9177
6,0,9353
7,0,9545
8,0,9721
9,0,9914
10,0,10201
11,0,10530
12,0,10953
12,1,12859
12,2,14403
12,3,15803
13,3,16164
13,4,17082
13,5,17481
13,6,17844
13,7,18180
12,7,19201
12,8,20026
12,9,20409
12,10,21003
13,10,21626
13,11,22090
13,12,23300
13,13,23740
12,13,24228
12,12,24755
12,11,25153
11,11,25691
11,12,26098
11,13,26523
10,13,26907
10,12,27364
10,11,27819
9,11,33162
9,10,38305
9,9,38699
10,9,39571
11,9,39892
11,8,40364
11,7,40834
11,6,41553
12,6,41962
12,5,42556
12,4,42931
11,4,43884
11,3,44979
11,2,45283
11,1,45684
10,1,46212
9,1,47867
9,2,48812
8,2,49467
7,2,49844
6,2,50258
6,1,50668
5,1,51186
4,1,51508
3,1,51796
2,1,52178
1,1,52499
1,2,53451
0,2,54363
0,3,55203
0,4,55540
0,5,55812
0,6,56067
0,7,56258
0,8,56450
0,9,56923
0,10,58609
0,11,58852
0,12,59107
0,13,59626
1,13,59963
0,13,60987
0,12,61345
0,11,61811
1,11,62219
2,11,63418
2,12,64068
3,12,64803
3,13,65395
4,13,65955
5,13,66762
5,12,67753
5,11,68660
6,11,69283
7,11,70331
7,12,70835
7,13,71954
6,13,72587
7,13,73259
8,13,73739
8,12,74219
9,12,74524
8,12,75386
8,11,75859
8,10,76292
8,9,78492
8,8,79188
9,8,79652
10,8,79905
10,7,80395
10,6,80764
10,5,81459
11,5,81716
10,5,83468
10,4,83769
10,3,84145
10,2,84883
10,3,85396
9,3,86201
8,3,86553
7,3,86889
6,3,87673
5,3,88137
4,3,88691
4,2,89082
3,2,89545
2,2,89785
2,3,91315
1,3,91795
0,3,92596
1,3,93419
1,4,94124
1,5,94403
1,6,94625
1,7,94802
1,8,95044
1,9,95332
1,10,95540
2,10,96017
3,10,96411
3,11,96961
4,11,97364
4,10,98212
5,10,98659
6,10,99019
7,10,99387
7,9,99963
7,8,100242
7,7,100660
8,7,101003
9,7,101289
9,6,101747
9,5,102145
9,4,102593
8,4,103130
7,4,103723
6,4,105795
5,4,106267
5,5,107028
4,5,107411
3,5,108484
3,4,108771
3,3,109124
3,4,109668
2,4,110028
2,5,110684
2,6,111378
3,6,112499
3,7,112931
3,8,113699
2,8,114195
2,9,114963
3,9,115386
4,9,115675
4,8,117284
5,8,119051
6,8,119450
6,9,119828
5,9,120467
5,8,120939
5,7,121715
4,7,122123
4,6,122844
5,6,123355
5,5,123754
6,5,124171
7,5,124443
8,5,124683
7,5,127827
7,6,128084
7,7,131220
6,7,131443
