x,y,t
0,0,0
1,0,10081
2,0,10490
3,0,11059
4,0,11440
5,0,11823
6,0,12223
7,0,12657
8,0,13041
9,0,13474
10,0,13925
11,0,14592
12,0,15392
12,1,16027
11,1,16760
10,1,17445
9,1,18312
9,2,19447
8,2,19980
7,2,21631
6,2,22515
6,1,23233
5,1,23800
4,1,24717
3,1,25215
2,1,25735
1,1,26252
1,2,26919
0,2,27847
0,3,28620
0,4,29170
0,5,29804
0,6,30587
0,7,31453
0,8,31973
0,9,35025
0,10,35825
0,11,36725
0,12,37605
0,13,38079
1,13,39243
0,13,39763
0,12,40613
0,11,41230
1,11,45517
2,11,46168
2,12,46801
3,12,48336
3,13,49391
4,13,50775
5,13,56522
5,12,57110
5,11,57693
6,11,59461
7,11,59995
7,12,60729
7,13,61329
6,13,61846
7,13,63336
8,13,63831
8,12,65822
9,12,67334
10,12,68568
10,13,69382
11,13,71003
12,13,71854
13,13,72354
13,12,73466
13,11,74452
12,11,75658
12,10,77825
13,10,79448
12,10,80310
12,11,81895
12,12,82912
11,12,83662
11,11,84509
10,11,85331
10,12,86232
10,11,87131
9,11,87850
8,11,88350
8,10,90386
9,10,91791
9,9,92870
10,9,94109
11,9,94521
12,9,96256
12,8,112536
12,7,113732
13,7,114417
13,6,115234
13,5,115885
13,4,116573
13,3,118138
12,3,119170
12,2,120089
11,2,158415
11,3,160081
11,4,161108
12,4,162316
12,5,163154
12,6,163703
11,6,165853
11,7,166302
11,8,166869
10,8,167453
9,8,167970
8,8,168554
8,9,169322
7,9,169873
7,10,170605
6,10,171590
5,10,172124
4,10,172874
4,11,173565
3,11,174692
3,10,175159
2,10,175760
1,10,176711
1,9,177394
1,8,177844
1,7,178209
1,6,178561
1,5,178899
1,4,179346
1,3,180363
2,3,181047
2,2,181959
3,2,182631
4,2,185184
4,3,186084
3,3,187985
3,4,189013
2,4,189737
2,5,190523
2,6,191522
3,6,192290
3,5,192923
4,5,194591
4,6,195225
4,7,195925
3,7,197009
3,8,197543
2,8,198557
2,9,199211
3,9,200075
4,9,200598
4,8,201830
5,8,203014
5,9,203849
6,9,205588
6,8,206250
7,8,207667
7,7,210253
8,7,211120
9,7,212672
10,7,215123
10,6,217375
10,5,219343
11,5,220044
10,5,220914
10,4,223401
10,3,223815
10,2,224332
11,2,224877
10,2,225915
10,3,227113
9,3,228417
8,3,229000
7,3,230891
6,3,232048
5,3,233438
5,4,240944
5,5,241339
5,6,242307
5,7,242874
6,7,243979
7,7,245693
7,6,246546
7,5,247062
6,5,248776
6,4,249212
7,4,251286
8,4,251814
9,4,252781
9,5,253633
9,6,255517
9,5,256184
8,5,256785
