x,y,t
0,0,0
1,0,6044
2,0,6542
3,0,6618
4,0,6701
5,0,6784
6,0,6866
7,0,6953
8,0,7033
9,0,7119
10,0,7203
11,0,7286
12,0,7367
12,1,7877
12,2,8185
12,3,8608
13,3,9011
13,4,9317
13,5,10935
13,6,11202
13,7,11423
12,7,11781
12,8,12040
12,9,12309
12,10,12686
13,10,12964
13,11,13250
13,12,13528
13,13,13790
12,13,17116
12,12,17469
12,11,17731
11,11,18095
11,12,18428
11,13,18710
10,13,19025
10,12,19422
10,11,21663
9,11,22125
9,12,22481
8,12,22844
8,13,23819
7,13,26506
6,13,26930
5,13,27563
5,12,29939
5,11,30485
6,11,30773
7,11,31117
7,12,31418
8,12,31651
8,11,31911
8,10,33445
9,10,34411
9,9,34781
10,9,35049
11,9,35376
11,8,35724
11,7,36005
11,6,36558
12,6,36849
12,5,37184
12,4,37547
11,4,41718
11,3,42084
11,2,42387
11,1,42616
10,1,43008
9,1,43894
9,2,44267
8,2,44748
7,2,45116
6,2,45354
6,1,45686
5,1,46009
4,1,46244
3,1,46431
2,1,46625
1,1,46830
1,2,47150
0,2,47336
0,3,47734
0,4,48577
1,4,49201
1,3,49554
2,3,49836
2,2,50116
3,2,50439
4,2,50731
4,3,51305
5,3,51642
6,3,51893
7,3,52097
8,3,52275
9,3,52444
10,3,52626
10,2,53035
10,3,53566
10,4,53872
10,5,54262
11,5,54514
10,5,54843
10,6,55080
10,7,55735
10,8,56058
9,8,56289
9,7,56663
9,6,56887
9,5,57078
9,4,57262
9,3,57472
9,4,58188
8,4,58655
8,5,59017
7,5,59376
7,6,59643
7,7,60469
8,7,60942
8,8,61214
8,9,61550
7,9,62141
7,10,62710
6,10,63334
6,9,63854
6,8,64139
7,8,64449
7,7,64648
6,7,64993
5,7,65746
5,6,66168
5,5,66596
6,5,66951
7,5,67347
7,4,67639
6,4,67943
5,4,68196
5,5,69295
4,5,69587
4,6,70024
4,7,70281
4,8,70541
5,8,70863
5,9,71196
4,9,71584
4,10,72359
5,10,72787
5,11,73129
4,11,73385
3,11,74183
3,12,74521
3,13,74804
4,13,75164
3,13,75431
3,12,75789
2,12,76195
2,11,77318
2,10,77720
3,10,78006
3,9,78305
2,9,78635
2,8,78906
3,8,79291
3,7,79645
3,6,80115
3,5,81858
3,4,82172
3,3,82597
2,3,82816
2,4,83010
2,5,83257
2,6,84305
1,6,84639
1,5,84943
0,5,85282
0,6,85595
0,7,85938
1,7,86375
1,8,86636
0,8,86974
0,9,87243
1,9,87627
1,10,87920
0,10,88332
0,11,89177
1,11,89521
0,11,89747
0,12,90055
0,13,90376
1,13,90661
