x,y,t
0,0,0
1,0,12159
1,1,12577
1,2,12919
0,2,13472
0,3,13863
1,3,15696
1,4,17413
0,4,17819
0,5,18247
1,5,19329
1,6,19731
0,6,20032
0,7,20295
1,7,20948
1,8,21216
0,8,21475
0,9,21872
0,10,30266
0,11,30768
0,12,30847
0,13,30932
1,13,31306
0,13,31707
0,12,31947
0,11,32392
1,11,32831
1,10,33108
1,9,33413
1,8,33835
2,8,35771
2,9,36335
2,10,36563
2,11,36763
2,12,36962
3,12,37368
3,13,37705
4,13,40647
5,13,41017
5,12,42283
5,11,42802
6,11,43298
7,11,44245
7,12,44596
7,13,44946
6,13,45240
7,13,45453
8,13,45678
8,12,46093
9,12,47318
10,12,47650
10,13,47942
11,13,48223
11,12,48514
12,12,48799
12,13,49071
13,13,49342
13,12,49615
13,11,51129
13,10,51664
12,10,52122
12,11,52563
11,11,53095
10,11,53552
9,11,54178
8,11,58065
8,10,59180
9,10,59518
9,9,59855
10,9,61229
11,9,61536
12,9,61834
12,8,62189
12,7,62609
13,7,63021
13,6,63333
13,5,63563
13,4,63763
13,3,64009
12,3,67838
12,2,68214
12,1,68633
12,0,69224
11,0,70050
11,1,71145
11,2,71943
11,3,72373
11,4,72766
12,4,73051
12,5,73268
11,5,73550
11,6,73790
12,6,74092
11,6,74478
11,7,75215
11,8,76227
10,8,77140
10,7,78614
10,6,79114
10,5,79192
10,4,79278
10,3,79361
10,2,79444
10,1,79527
10,0,80239
9,0,82223
8,0,82721
7,0,82955
6,0,83157
5,0,83333
4,0,83522
3,0,83788
2,0,84047
2,1,84886
2,2,85148
2,3,85354
2,4,85544
2,5,85747
2,6,85990
3,6,86345
3,7,86598
3,8,87116
3,9,87330
3,10,87517
3,11,87734
4,11,88179
4,10,88565
5,10,89883
6,10,93008
7,10,93880
7,9,94460
8,9,95131
8,8,95539
9,8,95972
9,7,97122
9,6,98998
9,5,99232
9,4,99411
9,3,99614
9,2,99872
9,1,100228
9,2,100579
8,2,100899
7,2,101184
6,2,101417
6,1,101833
5,1,102247
4,1,102793
3,1,103251
3,2,103655
4,2,103914
4,3,104268
3,3,104582
3,4,104925
3,5,105341
4,5,105697
4,6,106673
4,7,106878
4,8,107099
4,9,107312
5,9,107716
5,8,109380
5,7,109587
5,6,109772
5,5,109961
5,4,110192
5,3,110919
6,3,111548
7,3,111950
8,3,112212
8,4,112972
7,4,115872
6,4,120666
6,5,121189
7,5,121895
8,5,122187
7,5,122425
7,6,122864
7,7,123532
6,7,130600
5,7,131004
6,7,131626
6,8,131965
6,9,132221
7,9,132499
7,8,132742
7,7,133108
8,7,133268
