x,y,t
0,0,0
1,0,1788
2,0,1934
3,0,2120
4,0,2305
5,0,2451
6,0,2618
7,0,2805
8,0,2951
9,0,3135
10,0,3303
11,0,3487
12,0,3854
12,1,4571
12,2,4735
12,3,4972
13,3,6755
13,4,7173
13,5,7320
13,6,7487
13,7,7674
12,7,8256
12,8,8606
12,9,8787
12,10,9089
13,10,10789
13,11,11208
13,12,11374
13,13,11960
12,13,12356
12,12,13023
12,11,13356
11,11,13724
11,12,14723
11,13,14924
10,13,15124
10,12,15774
10,11,15937
9,11,17124
9,12,18207
8,12,18524
8,13,18874
7,13,19508
6,13,19691
5,13,19874
4,13,20039
3,13,20491
3,12,21091
2,12,22175
2,11,22541
1,11,24112
0,11,24325
0,12,25387
0,13,25742
1,13,26109
0,13,26575
0,12,27276
0,11,27461
0,10,27695
0,11,28226
1,11,29310
2,11,29475
3,11,29659
4,11,29824
5,11,30043
5,12,30360
5,11,30696
6,11,31910
7,11,32056
8,11,33055
8,12,33394
7,12,33661
7,11,34198
7,10,34713
6,10,35826
5,10,36010
4,10,36158
3,10,36325
2,10,36491
1,10,36861
1,9,37395
0,9,38615
0,8,38979
0,7,39145
0,6,39293
0,5,39819
0,4,39963
0,3,40148
0,2,41049
1,2,42062
1,1,43223
2,1,43829
3,1,44029
4,1,44176
5,1,44344
6,1,44580
6,2,45246
7,2,45596
8,2,46114
9,2,47189
9,1,47832
10,1,49463
11,1,49830
11,2,50297
11,3,50613
11,4,50814
12,4,51848
12,5,52264
12,6,52583
11,6,53081
11,5,53714
11,6,54031
11,7,54179
11,8,55058
11,9,55698
10,9,56014
9,9,56180
9,10,56631
8,10,56898
8,9,57482
7,9,57831
6,9,58199
5,9,58382
4,9,58546
3,9,58713
2,9,58932
2,8,59483
1,8,59832
1,7,60202
1,6,60403
1,5,60544
1,4,61136
1,3,61420
1,2,63672
2,2,64749
3,2,65166
4,2,65467
4,3,66600
5,3,68051
6,3,68232
7,3,68399
8,3,68564
9,3,68732
10,3,69100
10,2,69701
10,3,70781
10,4,71017
10,5,71182
10,6,71366
10,7,71513
10,8,71917
9,8,72418
8,8,72601
7,8,72766
6,8,72968
5,8,73114
4,8,73281
3,8,73535
3,7,74103
3,6,74640
2,6,74868
2,5,75272
2,4,75436
2,3,75740
3,3,76616
3,4,77102
3,5,77266
4,5,78406
5,5,78719
5,4,79206
6,4,81156
7,4,81569
8,4,81870
9,4,83073
9,5,84053
9,6,84453
9,7,84787
8,7,85537
7,7,86200
6,7,86537
5,7,86904
4,7,87321
4,6,87904
5,6,89392
5,5,90482
6,5,91188
7,5,91755
7,6,92338
7,5,93326
8,5,94159
