x,y,t
0,0,0
1,0,1190
2,0,1578
3,0,1760
4,0,1913
5,0,2073
6,0,2249
7,0,2399
8,0,2558
9,0,2710
10,0,2871
11,0,3036
12,0,3195
12,1,3741
11,1,4347
10,1,4552
9,1,4817
9,2,5257
10,2,5767
11,2,5998
12,2,6144
12,3,6537
13,3,7234
13,4,7725
12,4,8065
11,4,8405
11,3,8974
10,3,9218
10,4,9773
9,4,10098
9,3,11035
8,3,12730
8,2,13245
7,2,13607
6,2,14255
6,1,15184
6,2,15853
6,3,16211
7,3,17124
7,4,17705
8,4,18078
8,5,18687
9,5,19079
10,5,19541
11,5,19768
12,5,20005
13,5,20234
13,6,20828
13,7,21057
12,7,21344
12,6,21719
11,6,22007
11,7,22650
10,7,22974
10,6,23533
9,6,23877
9,7,24377
9,8,25023
10,8,25372
11,8,25624
12,8,26005
12,9,26583
11,9,26972
10,9,27273
9,9,28275
8,9,29007
8,8,29475
8,7,29744
7,7,30008
7,6,30680
7,5,31198
6,5,31528
5,5,32265
5,6,32736
5,7,33076
5,8,33419
5,9,34315
6,9,34608
6,8,35096
6,7,35605
6,8,36070
7,8,36441
7,9,36841
7,10,39804
7,11,40024
7,12,40241
7,13,40605
8,13,40897
8,12,41252
8,11,41531
8,10,42153
9,10,42535
9,11,43166
9,12,43434
10,12,43850
10,13,44259
11,13,44561
12,13,44807
13,13,45009
13,12,45417
13,11,45781
12,11,46445
12,12,46799
11,12,47066
11,11,47469
10,11,47856
11,11,48862
12,11,49033
12,10,49454
13,10,49757
12,10,50350
12,9,50850
11,9,51105
10,9,51605
9,9,51689
8,9,51773
7,9,51856
6,9,51940
5,9,52031
4,9,52114
5,9,53322
6,9,54166
6,10,54449
6,11,54700
5,11,55805
5,12,56090
5,13,56475
6,13,56773
5,13,57326
4,13,57500
3,13,57654
3,12,58007
2,12,58334
2,11,59660
3,11,59982
4,11,60181
5,11,60412
5,10,60702
4,10,61115
3,10,61380
2,10,61587
1,10,61764
0,10,61949
0,11,62193
0,12,62437
0,13,62617
1,13,63057
0,13,64225
0,12,64501
0,11,64719
0,10,65033
1,10,65300
1,11,65800
1,10,66172
1,9,66457
0,9,66788
0,8,67254
1,8,67671
2,8,68055
2,9,68457
3,9,68695
3,8,68987
4,8,69324
4,7,69632
4,6,70036
3,6,70515
3,7,71088
3,6,71791
2,6,72058
1,6,72334
1,7,72724
0,7,73013
0,6,73532
0,5,73759
0,4,73965
0,3,74161
0,2,74371
1,2,74906
1,3,75171
1,4,75397
1,5,75604
2,5,75987
2,4,76290
2,3,76484
2,2,76722
3,2,77065
3,3,77342
3,4,77563
3,5,77773
4,5,78091
5,5,78645
5,4,79054
6,4,79364
6,3,79884
5,3,80223
4,3,80516
4,2,81007
4,1,81385
5,1,81708
4,1,82226
3,1,82631
2,1,82809
1,1,82958
