x,y,t
0,0,0
1,0,1629
2,0,1847
3,0,2340
4,0,2373
5,0,2405
6,0,2438
7,0,2471
8,0,2504
9,0,2537
10,0,2569
11,0,2602
12,0,2635
12,1,3202
11,1,3588
10,1,3866
9,1,4037
9,2,5187
8,2,5424
7,2,5621
6,2,5807
6,1,6090
5,1,6423
4,1,6629
3,1,6814
2,1,7006
1,1,7189
1,2,7516
0,2,7758
0,3,8192
1,3,8494
2,3,8701
2,2,8997
3,2,9520
3,3,9826
4,3,10150
4,2,10565
4,3,10881
5,3,11131
6,3,11360
7,3,11533
8,3,11720
9,3,11906
10,3,12106
10,2,12408
11,2,12805
11,3,13145
12,3,13758
12,2,14019
12,3,14494
13,3,14851
13,4,15340
12,4,15711
11,4,15943
10,4,16135
9,4,16312
8,4,16484
7,4,16659
6,4,16831
5,4,17004
5,5,17428
4,5,17663
3,5,18213
3,4,18554
2,4,18875
1,4,19080
0,4,19269
0,5,19626
1,5,19976
2,5,20321
2,6,20581
1,6,20793
0,6,21017
0,7,21355
1,7,21649
1,8,21990
0,8,22324
0,9,22673
1,9,23102
1,10,23765
0,10,24104
0,11,24790
1,11,25091
0,11,25771
0,12,26126
0,13,26651
1,13,26905
0,13,27406
0,12,27661
0,11,27846
1,11,28167
2,11,28627
2,12,28863
2,11,29134
2,10,29328
2,9,29509
2,8,29689
3,8,30151
3,7,30469
3,6,30724
4,6,31130
4,7,31561
4,8,31960
5,8,32301
5,7,32633
5,6,32862
5,7,33280
6,7,33524
7,7,33730
8,7,33921
7,7,34361
7,6,34639
7,5,35231
6,5,35469
7,5,35766
8,5,35971
9,5,36187
10,5,36362
11,5,36536
12,5,36709
13,5,36900
13,6,37297
12,6,37530
11,6,37728
10,6,37905
9,6,38091
9,7,38407
10,7,38697
11,7,38908
12,7,39093
13,7,39292
12,7,40052
12,8,40308
12,9,40589
11,9,41698
10,9,41925
10,8,43027
11,8,43259
10,8,43616
9,8,43929
9,9,44258
8,9,44497
8,8,45007
7,8,45306
7,9,45703
6,9,45991
6,8,46359
6,9,46794
5,9,47016
4,9,47212
3,9,47401
3,10,47758
4,10,48036
5,10,48261
6,10,48424
7,10,48615
8,10,48824
9,10,49003
9,11,50133
10,11,50351
11,11,50570
12,11,50760
12,10,51089
13,10,51354
13,11,51677
13,12,52088
13,13,52581
12,13,52873
12,12,53171
11,12,53603
11,13,53871
10,13,54367
10,12,54656
9,12,55065
8,12,55400
8,11,55971
8,12,57159
8,13,57389
7,13,57767
7,12,58085
7,11,58313
6,11,58751
5,11,59271
5,12,59617
5,13,59900
6,13,60221
5,13,60508
4,13,60869
3,13,61278
3,12,61687
3,11,61907
4,11,62213
