x,y,t
0,0,0
1,0,2240
2,0,2368
3,0,2488
4,0,2600
5,0,2714
6,0,2840
7,0,2960
8,0,3120
9,0,3240
10,0,3360
11,0,3512
12,0,3872
12,1,4152
12,2,4487
12,3,4808
13,3,5112
13,4,5408
13,5,5583
13,6,5760
13,7,5952
12,7,6232
12,8,6472
12,9,6664
12,10,7063
13,10,7288
13,11,7601
13,12,8015
13,13,8216
12,13,8537
11,13,8720
10,13,8936
10,12,9560
11,12,9888
12,12,10052
12,11,10377
11,11,10657
10,11,10816
9,11,11016
9,12,11561
8,12,12048
8,13,12536
7,13,13192
6,13,13352
5,13,13512
4,13,13688
3,13,13872
3,12,14536
2,12,14913
2,11,15584
1,11,15960
0,11,16129
0,12,16520
0,13,16816
1,13,17072
0,13,17368
0,12,17992
0,11,18200
0,10,18368
0,9,18528
0,8,18688
0,7,18848
0,6,19008
0,5,19168
0,4,19320
0,3,19488
0,2,19656
1,2,19960
1,1,20244
2,1,20512
3,1,20648
4,1,20808
5,1,20960
6,1,21128
6,2,21512
7,2,21776
8,2,21961
9,2,22128
9,1,22601
10,1,22896
11,1,23080
11,2,23512
10,2,23752
10,3,24088
11,3,24376
11,4,24672
12,4,24976
12,5,25344
12,6,25528
11,6,25960
11,7,26272
11,8,26448
11,9,26632
10,9,26960
9,9,27160
9,10,27600
8,10,28016
8,11,28392
7,11,28744
7,12,29208
7,11,29504
6,11,29792
5,11,29983
5,12,30378
5,11,30656
4,11,30896
3,11,31079
3,10,31952
2,10,32224
1,10,32376
1,9,32704
1,8,32888
1,7,33056
1,6,33208
1,5,33368
1,4,33536
1,3,33704
2,3,34008
2,2,34312
3,2,34592
4,2,34752
4,3,35248
3,3,35520
4,3,35832
5,3,35992
6,3,36152
7,3,36311
8,3,36464
9,3,36600
9,4,37272
10,4,37520
10,5,37888
11,5,38128
10,5,38505
10,6,38768
10,7,38936
10,8,39224
9,8,39576
8,8,39760
7,8,39968
7,9,40508
8,9,40672
8,10,41280
7,10,41440
6,10,41736
5,10,41888
4,10,42328
4,9,42616
3,9,42832
2,9,43056
2,8,43344
3,8,43616
3,7,43872
3,6,44088
2,6,44440
2,5,44664
2,4,44864
3,4,45208
3,5,45544
4,5,45808
5,5,45992
6,5,46168
5,5,46600
5,4,46800
6,4,47096
7,4,47264
8,4,47447
8,5,47944
7,5,48104
8,5,48376
9,5,48568
9,6,49160
9,7,49400
8,7,49663
7,7,49815
6,7,50031
6,8,50352
6,9,50596
5,9,50777
5,8,51144
4,8,51552
4,7,51816
5,7,52152
5,6,52528
4,6,52791
5,6,54303
5,5,54504
6,5,54711
7,5,54935
7,6,55239
