x,y,t
0,0,0
1,0,2373
2,0,3907
3,0,4355
4,0,4580
5,0,4796
6,0,5322
7,0,5763
8,0,6872
9,0,7363
10,0,7839
11,0,8338
12,0,8872
12,1,11730
11,1,13430
10,1,13897
9,1,15271
9,2,16011
10,2,17297
11,2,17805
12,2,19505
12,3,20922
13,3,22105
13,4,23071
13,5,23580
13,6,24038
13,7,25413
12,7,26554
12,8,27297
12,9,28639
12,10,30339
13,10,31363
13,11,32640
13,12,33072
13,13,33539
12,13,36721
12,12,38721
12,11,39121
11,11,40230
11,12,41507
11,13,42038
10,13,42996
10,12,43988
10,11,44463
9,11,45971
9,12,47489
8,12,48538
8,13,49307
7,13,52855
7,12,53287
7,13,54688
6,13,55411
5,13,55979
5,12,56952
5,13,57747
4,13,58613
3,13,59546
3,12,60405
2,12,62155
2,11,63679
1,11,64805
0,11,66029
0,12,66571
0,13,67054
1,13,67705
0,13,68938
0,12,70813
0,11,72449
0,10,72980
0,9,73446
0,8,73921
0,7,74480
0,6,75113
0,5,75697
0,4,76213
0,3,76730
0,2,77205
1,2,77955
1,1,78455
2,1,79354
3,1,79621
4,1,79847
5,1,80355
6,1,80830
6,2,81560
7,2,82563
8,2,83063
8,3,86180
9,3,87005
10,3,87629
11,3,88146
11,4,90858
12,4,92167
12,5,93475
12,6,94167
11,6,95859
11,7,96369
11,8,96742
11,9,98060
10,9,98977
9,9,99792
9,10,100661
8,10,102195
8,11,103503
7,11,104187
6,11,104720
5,11,105370
4,11,106379
3,11,106820
3,10,108938
2,10,109938
1,10,110313
1,9,111019
1,8,111563
1,7,112013
1,6,112538
1,5,113080
1,4,113522
1,3,113972
1,2,116889
2,2,118038
3,2,119265
4,2,119865
4,3,120648
5,3,123556
6,3,124248
7,3,124656
7,4,125857
8,4,126957
9,4,127873
10,4,129915
10,5,131450
11,5,132534
10,5,132965
10,6,133899
10,7,134407
10,8,135890
9,8,137092
8,8,138098
8,9,139942
7,9,140705
7,10,141200
6,10,141965
5,10,142415
4,10,143615
4,9,144165
3,9,144849
2,9,145340
2,8,145915
3,8,146648
4,8,148215
5,8,149915
5,9,151165
6,9,152907
6,8,154307
7,8,156049
7,7,156646
8,7,158756
9,7,159385
9,6,160366
9,5,160859
8,5,161716
7,5,163099
6,5,164224
7,5,166649
7,6,167743
7,5,168582
6,5,169641
6,4,170224
5,4,171974
5,5,173583
5,6,174766
5,7,175332
6,7,176114
5,7,177824
4,7,178282
3,7,179416
3,6,180724
4,6,182440
4,5,183488
3,5,184507
3,4,185743
3,3,187023
2,3,188168
2,4,189266
2,5,190115
2,6,190900
