x,y,t
0,0,0
1,0,2756
2,0,3257
3,0,3338
4,0,3422
5,0,3504
6,0,3588
7,0,3671
8,0,3755
9,0,3838
10,0,3921
11,0,4004
12,0,4088
12,1,4756
12,2,4998
12,3,5199
13,3,5666
13,4,6071
13,5,6571
13,6,6655
13,7,6738
12,7,8165
12,8,8576
12,9,9142
12,10,9801
13,10,10109
13,11,10540
13,12,10964
13,13,11543
12,13,12272
11,13,12609
10,13,12834
10,12,13419
11,12,13831
12,12,14172
12,11,14673
11,11,15139
10,11,15485
9,11,16138
9,12,16762
8,12,17121
8,13,17641
7,13,18106
6,13,18653
5,13,22003
4,13,22284
3,13,22767
3,12,23156
2,12,23485
2,11,25336
1,11,25761
0,11,26390
0,12,26773
0,13,27121
1,13,27416
0,13,28293
0,12,28634
0,11,28885
0,10,29110
0,9,30068
0,8,30569
0,7,30651
0,6,30735
0,5,30818
0,4,30901
0,3,30985
0,2,31069
1,2,31928
1,1,32301
2,1,32746
3,1,33247
4,1,33329
5,1,33412
6,1,33500
6,2,33841
7,2,34401
8,2,34599
9,2,34825
9,1,35504
10,1,35861
11,1,36280
11,2,36616
11,3,37144
11,4,37943
12,4,38270
12,5,38924
12,6,39483
11,6,39922
11,7,40516
11,8,40861
11,9,41156
10,9,41685
9,9,42310
9,10,43140
8,10,43521
8,11,44133
7,11,44610
7,12,45025
7,11,45460
6,11,45831
5,11,46439
5,12,46803
5,11,47083
4,11,47563
3,11,48005
3,10,48461
2,10,48850
1,10,49259
1,9,50059
1,8,50560
1,7,50642
1,6,50726
1,5,51022
1,4,51530
1,3,51844
2,3,52339
2,2,52666
3,2,53079
3,3,53559
4,3,55365
4,2,55719
4,3,56106
5,3,56505
6,3,56792
7,3,57024
8,3,57254
9,3,57486
10,3,57958
10,2,58425
10,3,58667
10,4,59050
10,5,59534
11,5,60053
10,5,60353
10,6,60939
10,7,61324
10,8,61723
9,8,62129
8,8,62772
8,9,63138
7,9,63468
7,10,63873
6,10,64203
5,10,64548
4,10,65044
4,9,65467
3,9,65820
2,9,66276
2,8,66685
3,8,67141
3,7,67486
3,6,68240
2,6,68699
2,5,69121
2,4,69604
3,4,70131
3,5,70498
4,5,70887
5,5,71476
5,4,71856
6,4,72326
7,4,72604
8,4,72907
9,4,73250
9,5,73813
9,6,74274
9,7,74895
8,7,75347
7,7,76205
7,8,76699
6,8,77170
6,9,78191
5,9,78531
5,8,78935
4,8,79287
4,7,79826
5,7,80686
6,7,80887
5,7,81360
5,6,81918
4,6,82273
4,5,82563
5,5,83048
6,5,83390
7,5,83861
8,5,84340
7,5,84664
7,6,85041
