x,y,t
0,0,0
1,0,935
2,0,1212
3,0,1401
4,0,1912
5,0,1945
6,0,1970
7,0,2001
8,0,2049
9,0,2069
10,0,2111
11,0,2142
12,0,2176
12,1,3741
12,2,3936
12,3,4607
13,3,4888
13,4,8304
13,5,8813
13,6,8846
13,7,8874
12,7,9824
12,8,10159
12,9,10394
12,10,11385
13,10,11494
13,11,11864
13,12,12106
13,13,12307
12,13,12665
12,12,13119
12,11,13343
11,11,13571
11,12,13839
11,13,14093
10,13,14334
10,12,14600
10,11,14848
9,11,15043
9,12,15495
8,12,15755
8,13,16008
7,13,16312
6,13,16578
5,13,16819
4,13,17069
3,13,17354
3,12,17618
2,12,17810
2,11,18167
1,11,18300
0,11,18553
0,12,18573
0,13,19049
1,13,19198
0,13,19428
0,12,19613
0,11,19896
0,10,20105
0,9,20303
0,8,20504
0,7,20705
0,6,20894
0,5,21084
0,4,21270
0,3,21475
0,2,21681
1,2,22040
1,1,22214
2,1,22482
3,1,22709
4,1,23059
5,1,23258
6,1,23454
6,2,23692
6,3,24611
5,3,24741
4,3,24993
4,2,25412
3,2,25569
2,2,25852
2,3,26288
1,3,26496
2,3,26751
3,3,27015
3,4,27288
2,4,27532
1,4,27962
1,5,28265
1,6,28489
1,7,28696
1,8,28900
1,9,29107
1,10,29329
2,10,29578
2,9,29833
2,8,30075
3,8,30317
3,7,30582
3,6,31220
2,6,31491
2,5,31885
3,5,32088
4,5,32379
4,6,32679
4,7,32949
4,6,33264
4,7,33512
4,8,33797
4,9,34048
3,9,34371
3,10,34635
3,11,34871
4,11,35165
5,11,35903
5,12,36357
5,11,36856
6,11,37373
7,11,37586
8,11,38101
8,12,38504
7,12,38710
7,11,39097
6,11,39333
6,10,39614
5,10,39814
4,10,40139
5,10,40430
6,10,40674
7,10,40930
8,10,41134
9,10,41340
9,9,41776
10,9,41960
11,9,42211
11,8,42472
11,7,42682
11,6,42906
12,6,43278
12,5,43582
12,4,44056
11,4,44319
11,3,44688
11,2,44893
11,1,45094
10,1,45363
10,2,45947
10,3,46140
10,4,46371
10,5,46619
11,5,46861
10,5,47070
10,6,47287
10,7,47549
10,8,47840
9,8,48078
8,8,48574
8,9,48853
7,9,49102
6,9,49351
5,9,49699
5,8,49986
5,7,50206
5,6,50436
5,5,50638
5,4,50857
6,4,51082
7,4,51363
7,5,51566
6,5,51953
7,5,52500
7,6,52709
7,7,52959
6,7,53160
6,8,53621
7,8,53804
8,8,54778
8,7,54905
9,7,55272
9,6,55657
9,5,56163
9,4,56193
9,3,56231
9,2,56245
9,1,56292
9,0,56333
9,1,56884
9,2,57516
8,2,57741
8,3,58022
8,4,58303
8,5,58541
8,4,58851
7,4,59096
7,3,59418
7,2,59640
