x,y,t
0,0,0
1,0,3118
2,0,3500
3,0,3766
4,0,3964
5,0,4197
6,0,4380
7,0,4597
8,0,5200
9,0,6583
10,0,7084
11,0,7367
12,0,7548
12,1,8401
11,1,9488
10,1,9698
9,1,9898
9,2,10685
8,2,11134
7,2,11314
6,2,11801
6,1,12454
5,1,12851
4,1,13235
3,1,13535
2,1,13715
1,1,13968
1,2,14587
0,2,17321
0,3,18088
0,4,19172
0,5,19385
0,6,19585
0,7,19802
0,8,19951
0,9,20238
0,10,20655
0,11,20835
0,12,21087
0,13,21285
1,13,22089
0,13,22505
0,12,23055
0,11,23472
1,11,23956
2,11,24472
2,12,24972
3,12,25423
3,13,26024
4,13,26508
5,13,26808
5,12,27375
5,13,27759
6,13,28462
7,13,28892
7,12,30727
7,13,31211
8,13,31660
8,12,32278
9,12,33680
10,12,36215
10,13,36766
11,13,37199
12,13,37430
13,13,38817
13,12,40318
12,12,41086
11,12,42971
11,11,46056
10,11,48160
9,11,48691
8,11,48991
7,11,49205
6,11,49440
5,11,49655
4,11,49771
3,11,50258
3,10,51442
2,10,52160
1,10,52340
1,9,54248
1,8,54562
1,7,54827
1,6,55008
1,5,55158
1,4,55325
1,3,55663
2,3,57147
2,2,59068
3,2,61249
3,3,61716
4,3,62766
4,2,63451
4,3,63985
5,3,64435
6,3,65619
7,3,65935
8,3,66166
9,3,66349
10,3,66819
10,2,67406
11,2,68920
11,3,69472
12,3,70438
12,2,72158
12,3,72740
13,3,73174
13,4,73958
13,5,74356
13,6,74624
13,7,74822
12,7,75743
12,8,76210
12,9,76424
12,10,76624
12,11,77144
13,11,77776
13,10,78495
12,10,79358
12,9,79997
11,9,80546
10,9,80846
9,9,81364
9,10,81848
8,10,82248
7,10,82462
6,10,82662
5,10,83165
4,10,83633
4,9,84218
3,9,84633
2,9,84899
2,8,85769
3,8,86435
4,8,86649
5,8,86849
5,9,87236
6,9,87586
7,9,87800
8,9,87983
8,8,88590
9,8,89320
10,8,89467
11,8,89771
11,7,90406
10,7,92374
9,7,92588
8,7,93024
7,7,93625
7,6,94912
7,7,95360
7,8,95560
6,8,95927
6,7,96444
5,7,96926
4,7,97210
3,7,97811
3,6,98228
2,6,98862
2,5,99516
2,4,101018
3,4,102317
3,5,102764
4,5,103614
4,6,104165
5,6,104664
5,5,105400
5,4,105832
6,4,107565
6,5,108032
7,5,108498
7,4,109099
8,4,109749
8,5,110315
8,4,111550
9,4,111966
9,5,112500
9,6,112881
10,6,113847
10,5,114285
10,4,114670
11,4,115151
11,5,115734
11,6,116069
12,6,116551
12,5,117003
12,4,117418
