x,y,t
0,0,0
1,0,13174
2,0,13337
3,0,13504
4,0,13655
5,0,13822
6,0,13971
7,0,14121
8,0,14271
9,0,14438
10,0,14588
11,0,14756
12,0,15204
12,1,15704
11,1,16125
10,1,16308
9,1,16770
9,2,22076
10,2,22488
11,2,22657
12,2,22823
12,3,23342
13,3,23808
13,4,27977
12,4,28459
12,5,28841
13,5,29227
13,6,29690
12,6,30158
12,7,30560
13,7,30944
12,7,31460
12,8,31861
12,9,32444
12,10,32711
13,10,34711
13,11,37817
12,11,38729
12,12,39179
13,12,40330
13,13,40962
12,13,41362
11,13,41809
11,12,42973
11,11,43330
10,11,48964
10,12,49530
10,13,49912
10,12,50264
9,12,50681
9,11,51264
9,10,51615
9,9,51883
10,9,53093
11,9,53399
11,8,53831
10,8,54182
9,8,54399
9,7,55527
10,7,55998
11,7,56249
11,6,56637
10,6,57820
9,6,57982
10,6,58431
9,6,59817
9,5,61220
10,5,61600
11,5,61850
11,4,62271
11,3,64834
10,3,65246
10,4,65730
9,4,66182
9,3,67438
8,3,67881
8,2,68365
7,2,75555
6,2,75854
6,3,76319
7,3,77392
6,3,84608
5,3,84788
5,4,85255
6,4,85938
7,4,86305
8,4,86655
8,5,87119
7,5,87655
6,5,87972
5,5,88355
5,6,92571
5,7,92757
5,8,92901
5,9,93071
5,10,93222
5,11,93440
5,12,93852
5,13,94290
6,13,94753
7,13,95123
8,13,95373
8,12,95873
8,11,96039
8,10,96187
8,9,96354
8,8,96505
8,7,97024
7,7,97890
7,6,99062
7,7,99410
7,8,99640
7,9,99788
7,10,99938
7,11,100291
7,12,100741
7,11,102008
6,11,102394
5,11,102574
6,11,103275
6,10,103758
6,9,103923
6,8,104091
6,7,104308
5,7,105077
4,7,105609
4,6,109560
4,5,109760
3,5,110292
3,6,110959
3,7,111406
3,8,111776
4,8,112144
4,9,112625
3,9,113027
3,10,113512
4,10,113939
4,11,114392
3,11,114794
3,12,115279
3,13,115674
4,13,116044
3,13,117344
3,12,117740
2,12,118177
2,11,118531
2,10,118765
2,9,118999
2,8,119161
1,8,125228
1,9,125729
1,10,125930
1,11,126076
0,11,126613
0,12,127095
0,13,127261
1,13,127679
0,13,128997
0,12,129446
0,11,129647
0,10,129795
0,9,129962
0,8,130110
0,7,130332
1,7,131952
1,6,132334
0,6,133718
1,6,134398
2,6,134799
2,5,135215
1,5,135661
0,5,135999
0,4,137069
1,4,137496
2,4,137681
3,4,137846
3,3,138421
4,3,140003
3,3,140428
2,3,140614
1,3,140763
0,3,140949
0,2,141982
1,2,142448
1,1,143429
2,1,144554
2,2,144963
3,2,145334
3,1,146438
4,1,146846
4,2,147367
4,1,148618
5,1,148918
6,1,149201
