x,y,t
0,0,0
1,0,3264
2,0,3776
3,0,3808
4,0,3840
5,0,3872
6,0,3904
7,0,3936
8,0,4152
9,0,4352
10,0,4560
11,0,4760
12,0,5224
12,1,8288
11,1,8640
10,1,9424
9,1,9704
9,2,10064
10,2,10472
11,2,10744
12,2,11072
12,3,11368
13,3,11584
13,4,11960
13,5,12864
13,6,13200
13,7,13536
12,7,14888
12,8,15208
12,9,15488
12,10,15824
13,10,16184
13,11,16744
13,12,17112
13,13,17448
12,13,17728
12,12,18072
12,11,18536
11,11,18976
11,12,19424
11,13,20016
10,13,20336
10,12,20672
10,11,21080
9,11,21648
9,12,22864
8,12,23952
8,13,25144
7,13,27482
7,12,27961
7,11,28833
6,11,29201
5,11,30642
5,12,30994
5,13,31337
6,13,31705
5,13,32001
4,13,32282
3,13,32778
3,12,33121
2,12,33578
2,11,35801
3,11,36282
4,11,36584
4,10,36993
5,10,37449
6,10,37737
7,10,38016
8,10,38394
8,11,39040
9,11,39657
9,10,39914
9,9,40610
10,9,40914
11,9,41385
11,8,41850
11,7,42112
11,6,42410
12,6,42753
12,5,43041
12,4,43641
11,4,44066
11,3,44746
10,3,45256
9,3,45608
8,3,45922
7,3,46298
8,3,48841
8,2,49096
7,2,49490
6,2,49969
6,1,50233
5,1,50521
4,1,50930
3,1,51177
2,1,51346
1,1,51577
1,2,52098
0,2,52634
1,2,54801
2,2,55074
3,2,55282
4,2,55514
4,3,56449
5,3,56721
6,3,57154
6,4,58249
7,4,58610
8,4,58841
9,4,59042
10,4,59242
10,5,59656
11,5,59953
10,5,60522
10,6,60722
10,7,61098
10,8,61368
9,8,61672
9,7,61960
9,6,62208
9,5,62464
8,5,62824
7,5,63448
7,6,63736
7,7,63976
8,7,64304
8,8,64600
8,9,64944
7,9,65176
7,8,65536
6,8,66400
6,9,66784
5,9,67080
5,8,67704
5,7,68457
6,7,68752
5,7,69290
5,6,69465
5,5,69914
6,5,70201
5,5,70569
5,4,70784
5,5,71225
4,5,71489
3,5,71856
3,4,72160
3,3,72624
2,3,72968
1,3,73192
0,3,73495
0,4,73920
1,4,74224
2,4,74464
2,5,74872
1,5,75160
0,5,75496
0,6,75840
1,6,76144
2,6,76448
3,6,76760
4,6,77104
4,7,77432
3,7,77863
3,8,78184
4,8,78504
4,9,78840
3,9,79224
3,10,79512
2,10,79816
2,9,80168
2,8,80536
1,8,81152
1,7,81439
0,7,81849
0,8,82248
0,9,82544
1,9,82832
1,10,83120
0,10,83512
0,11,83912
1,11,84560
0,11,84848
0,12,85184
0,13,85480
1,13,85808
