x,y,t
0,0,0
1,0,2182
2,0,3198
3,0,3897
4,0,4398
5,0,4665
6,0,4882
7,0,5053
8,0,5330
9,0,5460
10,0,5863
11,0,6099
12,0,6376
12,1,7176
12,2,7677
12,3,7708
12,4,7738
12,5,7768
12,6,7800
12,7,7833
12,8,7859
12,9,7889
12,10,7919
12,11,7954
12,12,7984
12,13,8014
13,13,8784
13,12,9393
13,11,9684
13,10,10327
12,10,10770
12,9,11244
12,8,11494
12,7,11751
13,7,12260
13,6,12695
13,5,13224
13,4,13450
13,3,13904
12,3,14441
11,3,15089
11,2,16205
11,1,16508
11,2,17392
11,3,17619
11,4,17795
11,5,17936
11,6,18433
11,7,18625
11,8,18820
11,9,19278
10,9,20073
9,9,20576
8,9,20606
7,9,20635
6,9,20666
5,9,20696
4,9,20729
3,9,20756
2,9,20786
1,9,20816
0,9,20847
0,8,21519
1,8,22095
2,8,22598
3,8,22782
4,8,23285
5,8,23318
6,8,23348
7,8,23563
8,8,23910
9,8,24131
10,8,24503
10,7,25061
10,6,25564
10,5,25599
10,4,25625
10,3,25657
10,2,25684
10,1,25715
10,0,25746
10,1,27414
9,1,28927
9,2,29567
9,3,29843
9,4,30074
9,5,30260
9,6,30416
9,7,30693
9,8,31140
9,9,31365
9,10,31567
9,11,31849
9,12,32850
8,12,33656
7,12,33905
7,13,34539
8,13,34900
8,12,35615
8,11,35866
8,10,36100
7,10,37299
6,10,37802
5,10,37832
4,10,37864
3,10,37893
2,10,37923
1,10,37953
0,10,37983
0,11,39502
1,11,40165
2,11,41126
3,11,41357
4,11,41548
5,11,41749
6,11,41955
7,11,42201
7,12,43006
7,13,43298
6,13,44304
5,13,44791
4,13,45355
3,13,45888
3,12,46470
2,12,47090
2,11,47845
1,11,48508
0,11,48759
0,12,49261
0,13,49527
1,13,50172
0,13,51313
0,12,52238
0,11,52640
1,11,53440
1,10,54018
1,9,54521
1,8,54553
1,7,54585
1,6,54615
1,5,54641
1,4,54672
1,3,54704
1,2,54737
1,1,54763
1,0,54794
2,0,55813
2,1,56558
2,2,56779
2,3,57035
2,4,57286
2,5,57463
2,6,57683
3,6,58444
3,7,58965
3,6,59398
3,5,59902
3,4,59932
3,3,59964
3,2,59991
3,1,60021
3,0,60052
4,0,60827
4,1,61314
4,2,61565
4,3,61823
3,3,62335
3,4,62838
3,5,63129
4,5,63759
4,6,64155
4,7,64382
5,7,64949
5,6,65467
5,5,65780
5,4,66010
5,3,66393
4,3,66980
4,2,67619
4,1,68097
5,1,68827
6,1,69741
6,2,70310
6,3,70545
6,4,70783
6,5,71280
7,5,71787
8,5,72039
8,4,72717
8,3,73190
8,2,73512
7,2,73965
7,3,74402
7,4,74703
7,5,75166
7,6,75454
7,7,75734
8,7,76574
7,7,76956
6,7,77193
5,7,78344
4,7,78605
3,7,78791
3,8,79390
2,8,79817
1,8,80033
0,8,80239
0,7,80764
0,6,81039
0,5,81185
0,4,81411
0,3,81618
0,2,82024
0,3,83207
0,4,83437
0,5,83659
0,6,83881
0,7,84106
0,8,84327
0,9,84539
1,9,85074
2,9,85574
3,9,85604
4,9,85635
5,9,85664
5,10,86384
5,11,86711
5,12,87037
5,11,88104
6,11,88606
7,11,89110
8,11,89139
9,11,89169
10,11,89199
11,11,89230
12,11,89263
13,11,89290
13,12,89900
12,12,91240
11,12,91523
10,12,91794
10,13,93111
11,13,93654
