x,y,t
0,0,0
1,0,3024
2,0,3275
3,0,3475
4,0,3967
5,0,4007
6,0,4039
7,0,4071
8,0,4106
9,0,4138
10,0,4402
11,0,4647
12,0,4867
12,1,5891
11,1,6308
10,1,6567
9,1,7035
9,2,7874
10,2,8810
11,2,9042
12,2,9260
12,3,10278
13,3,10730
13,4,12262
13,5,12719
13,6,12939
13,7,13159
12,7,13882
12,8,14475
12,9,14907
12,10,15498
13,10,15911
13,11,16471
13,12,16763
13,13,17183
12,13,17983
12,12,18575
12,11,18835
11,11,19846
10,11,20078
11,11,22231
11,12,22656
11,13,23107
10,13,23607
10,12,24242
9,12,26747
8,12,27003
8,13,28475
7,13,30195
7,12,30614
7,11,34743
7,10,34992
7,9,35235
7,8,35507
7,7,35779
8,7,37827
8,8,38159
8,9,38435
8,10,38695
8,11,39035
9,11,39419
9,10,39970
9,9,40259
9,8,40503
9,7,40963
10,7,41662
11,7,41962
11,8,42639
11,9,43043
10,9,43519
10,8,44022
10,7,44310
10,6,44833
11,6,45478
12,6,45702
12,5,46299
12,4,46566
11,4,47295
11,3,47882
10,3,48464
10,4,49518
10,5,49981
11,5,50562
10,5,51066
9,5,51518
9,4,51973
9,3,52422
9,4,53122
9,5,53390
9,6,53618
9,5,54130
8,5,54587
7,5,54894
8,5,56090
8,4,56527
8,3,56806
8,2,57051
7,2,57643
7,3,58459
7,4,58914
7,3,60815
7,2,61251
6,2,62975
6,1,63362
5,1,64027
4,1,64260
3,1,64463
2,1,64671
1,1,64887
1,2,65832
0,2,66295
0,3,67011
0,4,67507
0,5,67547
0,6,67579
0,7,67614
0,8,67645
0,9,67679
0,10,67712
0,11,67747
0,12,67779
0,13,67798
1,13,68614
0,13,69143
0,12,69807
0,11,70327
1,11,70995
2,11,71519
2,12,72084
3,12,72695
3,13,73187
4,13,73859
5,13,74162
6,13,74496
5,13,75294
5,12,75734
5,11,76722
6,11,77303
6,10,79068
6,9,79327
6,8,79575
6,7,80019
5,7,80578
5,6,81070
5,5,81803
6,5,82363
6,4,82883
6,3,83199
5,3,84175
5,4,85648
5,3,87235
4,3,87680
4,2,88247
3,2,88847
2,2,89171
2,3,90943
1,3,93795
1,4,94439
1,5,94710
1,6,94902
1,7,95107
1,8,95346
1,9,95599
1,10,95855
2,10,96495
3,10,97378
3,11,97970
4,11,98486
4,10,99014
5,10,99648
5,9,100154
5,8,100702
4,8,101275
4,7,101891
4,6,102158
4,5,102386
3,5,103248
3,4,103787
3,3,104114
3,4,104654
2,4,105174
2,5,105843
2,6,106355
3,6,106851
3,7,107404
3,8,108148
2,8,108631
2,9,109755
3,9,110271
4,9,110591
5,9,111700
6,9,111994
7,9,112248
7,8,112786
7,7,113063
7,6,113287
