x,y,t
0,0,0
1,0,8271
2,0,8819
3,0,9120
4,0,9402
4,1,10386
4,2,11520
4,3,15286
4,4,15835
3,4,16703
3,3,17802
3,2,18469
2,2,19469
2,3,20030
1,3,28237
0,3,28817
0,4,29618
0,5,29868
0,6,30100
0,7,30303
1,7,31451
2,7,31817
3,7,32234
3,6,34336
4,6,34851
3,6,35784
2,6,36045
1,6,36347
1,5,37166
1,4,37583
1,3,42001
2,3,44850
3,3,45339
3,4,46080
4,4,47532
5,4,49800
5,5,50798
6,5,52098
6,6,53000
6,7,53631
7,7,54334
7,6,55407
7,5,55865
7,4,56297
7,3,56630
7,2,56881
6,2,58292
6,1,58684
6,0,58964
5,0,61919
5,1,63234
5,2,64164
5,3,64598
6,3,65538
6,4,66009
