x,y,t
0,0,0
1,0,1608
2,0,1798
3,0,1961
4,0,2126
5,0,2314
6,0,2461
6,1,3087
5,1,3552
4,1,3706
4,2,5386
3,2,6681
2,2,6836
2,3,7526
3,3,7815
4,3,8005
5,3,8144
5,2,8500
6,2,8812
7,2,9056
7,3,9386
6,3,9660
6,4,10229
7,4,10579
7,5,11031
6,5,11688
6,6,12897
7,6,13208
7,7,13470
6,7,13714
6,6,13949
6,5,14161
5,5,14461
5,4,14778
4,4,15035
3,4,15387
3,3,15688
2,3,15949
1,3,16136
0,3,16463
0,4,16750
1,4,17037
1,5,17309
0,5,17558
0,6,17829
1,6,18100
2,6,18283
3,6,18432
3,7,18752
2,7,18978
1,7,19443
0,7,19746
0,6,20363
1,6,20583
2,6,20753
3,6,20921
4,6,21093
