x,y,t
0,0,0
1,0,7935
2,0,8168
3,0,11635
4,0,12068
5,0,12485
6,0,12952
6,1,13986
6,2,19320
7,2,20286
7,3,21321
7,4,22854
7,5,23187
7,6,23504
7,7,23837
6,7,25137
6,6,26924
6,5,27288
6,4,27621
6,3,28071
5,3,38506
4,3,38940
3,3,39277
2,3,41057
2,2,41991
3,2,42890
4,2,44774
5,2,45358
5,1,46224
4,1,47925
4,2,49424
4,3,50008
4,4,53525
5,4,54226
4,4,55089
3,4,55659
4,4,59812
5,4,61260
5,5,62210
5,4,63611
5,3,64193
4,3,65661
3,3,65960
2,3,66228
1,3,70528
0,3,71029
0,4,72498
1,4,73862
1,5,74745
0,5,75662
0,6,76996
1,6,79063
2,6,80513
3,6,80880
4,6,81347
3,6,85331
3,7,85831
2,7,86847
1,7,87248
0,7,87730
