x,y,t
0,0,0
1,0,2682
2,0,3099
3,0,3224
4,0,3405
5,0,3534
6,0,3932
6,1,6528
6,2,7445
6,3,15538
6,4,15709
6,5,15862
6,6,16346
6,7,17295
7,7,17976
7,6,18560
7,5,18709
7,4,18885
7,3,19042
7,2,19165
6,2,22072
5,2,22229
4,2,22406
3,2,22598
2,2,23270
2,3,26715
3,3,28806
4,3,29083
5,3,29623
4,3,31280
3,3,31429
2,3,31597
1,3,31752
0,3,32194
0,4,33532
0,5,34137
0,6,34556
0,7,35044
1,7,35647
2,7,36427
2,6,37286
1,6,37772
1,5,38134
1,4,38615
1,3,41416
2,3,42754
3,3,43145
3,4,43705
4,4,44260
5,4,44646
5,5,45776
5,4,47164
5,3,47463
5,2,47646
5,1,48055
4,1,48710
4,2,49642
4,3,50124
4,4,50312
3,4,51419
3,3,52054
2,3,52546
1,3,52942
1,4,53833
1,5,54296
1,6,54911
1,7,56944
2,7,57507
3,7,58234
3,6,58734
4,6,59324
