x,y,t
0,0,0
1,0,1734
2,0,2200
3,0,2815
4,0,3314
5,0,4113
6,0,4832
6,1,5515
5,1,6630
4,1,7312
4,2,7845
3,2,8410
2,2,9162
3,2,10763
4,2,11790
5,2,12107
6,2,12609
7,2,12942
7,3,13560
6,3,14225
5,3,14640
4,3,15007
3,3,15457
2,3,15757
1,3,16189
0,3,16608
0,4,17006
1,4,17473
1,5,18289
0,5,18822
0,6,19290
1,6,20288
2,6,20686
3,6,21019
4,6,21420
3,6,22087
3,7,22386
2,7,22819
1,7,23084
0,7,23351
0,6,24070
0,5,24285
0,4,24532
0,3,24766
1,3,25248
2,3,25483
3,3,25751
3,4,26468
4,4,26866
5,4,27119
6,4,27366
7,4,27616
7,5,28282
7,6,28699
7,7,29248
6,7,29781
6,6,30047
6,5,30283
5,5,32714
