x,y,t
0,0,0
1,0,19142
2,0,19642
3,0,19682
4,0,19711
5,0,19743
6,0,19776
6,1,20243
6,2,20629
7,2,20877
7,3,21087
7,4,21590
7,5,21625
7,6,21658
7,7,21693
6,7,21872
6,6,22113
6,5,22264
6,4,22416
6,3,22589
6,4,27938
6,5,28108
5,5,28458
5,4,28767
5,3,28913
5,2,29071
5,1,29226
4,1,29625
4,2,29896
4,3,30091
4,4,30262
3,4,31408
3,3,31769
3,2,31971
2,2,32365
2,3,32625
1,3,32866
0,3,33208
0,4,37767
1,4,37995
1,5,38280
0,5,38521
0,6,38925
1,6,39143
1,7,39420
0,7,39774
1,7,40086
2,7,40257
3,7,40433
3,6,40604
2,6,40717
3,6,42351
4,6,42503
