x,y,t
0,0,0
1,0,6442
2,0,6977
3,0,7282
4,0,7714
5,0,7906
6,0,8130
6,1,8426
5,1,8698
4,1,8898
4,2,9514
3,2,9874
2,2,10082
2,3,10458
1,3,10777
0,3,10969
0,4,11433
0,5,11673
0,6,14250
0,7,14465
1,7,14769
1,6,15033
1,5,15249
1,4,15441
1,5,15793
1,6,16001
2,6,17194
3,6,17417
4,6,17617
3,6,18465
3,7,18954
2,7,19337
2,6,19626
1,6,20001
1,5,20322
1,4,20633
1,3,20825
2,3,21385
3,3,21593
3,4,21994
4,4,22297
5,4,22793
5,5,23097
6,5,23425
6,6,23705
6,7,23985
7,7,24281
7,6,24537
7,5,24785
7,4,24985
7,3,25194
7,2,25401
6,2,25681
5,2,26129
5,3,26449
4,3,26705
5,3,26945
6,3,27177
6,4,27402
