x,y,t
0,0,0
1,0,3335
2,0,3767
3,0,4653
4,0,9253
4,1,14801
4,2,16687
3,2,18120
2,2,18737
2,3,20271
1,3,21287
0,3,22671
0,4,23621
0,5,23988
0,6,24455
0,7,25038
1,7,26855
2,7,27371
3,7,29189
3,6,30505
4,6,31589
3,6,32689
2,6,33123
1,6,33489
1,5,34822
1,4,35156
1,3,36269
2,3,37306
3,3,37756
3,4,45041
4,4,48659
5,4,52674
5,5,53942
6,5,55842
6,6,56893
6,7,57743
7,7,58960
7,6,60143
7,5,60427
7,4,60727
6,4,62961
6,3,65194
5,3,66643
4,3,66928
5,3,67961
6,3,68395
7,3,68863
7,2,69945
6,2,72196
5,2,74929
5,1,75829
5,0,76313
6,0,77829
6,1,79163
