x,y,t
0,0,0
1,0,1784
2,0,2118
3,0,2585
4,0,7890
5,0,8153
6,0,8669
6,1,9119
5,1,9453
4,1,9687
4,2,10554
3,2,10870
2,2,11321
2,3,11638
1,3,12022
0,3,14390
0,4,14757
1,4,15341
1,5,15791
0,5,16208
0,6,18861
0,7,19060
1,7,19878
2,7,20562
3,7,20978
3,6,21462
4,6,22597
3,6,22997
2,6,23381
1,6,23731
1,5,24215
1,4,24565
1,3,24932
2,3,26267
3,3,26716
4,3,27169
5,3,27517
5,2,27935
6,2,28651
7,2,29268
7,3,29752
7,4,30036
7,5,30536
7,6,30770
7,7,30937
6,7,31503
6,6,32088
6,5,32804
5,5,34690
5,4,37992
4,4,38609
3,4,38926
4,4,39977
5,4,40277
6,4,40710
6,3,41028
