x,y,t
0,0,0
1,0,932
2,0,1165
3,0,1348
4,0,2433
5,0,2682
6,0,2832
6,1,3833
6,2,4749
7,2,5083
7,3,5498
7,4,5766
7,5,5933
7,6,6183
7,7,6583
6,7,7483
6,6,7766
6,5,8066
6,4,8450
6,3,8899
5,3,20370
5,2,20769
5,1,21319
4,1,21719
4,2,28854
3,2,29237
2,2,29669
2,3,38956
3,3,41187
4,3,41604
4,4,44056
5,4,44423
5,5,44806
5,4,45841
4,4,46356
3,4,46656
3,3,47107
2,3,47555
1,3,47957
0,3,48139
0,4,48907
1,4,49257
1,5,49757
0,5,50157
0,6,50676
1,6,51057
2,6,51791
3,6,56858
4,6,58225
3,6,58592
3,7,59042
2,7,59375
1,7,59609
0,7,59758
