x,y,t
0,0,0
1,0,5688
2,0,5968
3,0,6185
4,0,6386
5,0,6569
6,0,6818
6,1,8452
5,1,8968
4,1,9502
4,2,15019
3,2,15903
2,2,16436
2,3,17253
1,3,20737
0,3,21921
0,4,22588
0,5,22937
0,6,23258
0,7,23605
1,7,25155
2,7,25488
3,7,25974
3,6,26971
4,6,27370
3,6,27889
2,6,28205
1,6,28688
1,5,29422
1,4,29772
1,3,30355
2,3,31121
3,3,32339
3,4,33207
4,4,34291
5,4,35540
5,5,35990
6,5,37375
6,6,37823
6,7,38173
7,7,38639
7,6,39190
7,5,39357
7,4,39540
7,3,39990
7,2,41408
6,2,41857
5,2,46244
4,2,47592
4,3,48659
5,3,49058
6,3,49342
6,4,49892
