x,y,t
0,0,0
1,0,4840
2,0,5258
3,0,5624
4,0,18526
5,0,19202
6,0,20399
6,1,21667
5,1,23129
4,1,23827
4,2,28470
3,2,29486
2,2,30201
2,3,30917
1,3,31599
0,3,34444
0,4,36275
0,5,36806
0,6,37322
0,7,37838
1,7,39402
2,7,39902
3,7,40484
3,6,42464
4,6,43995
3,6,45593
2,6,45992
1,6,46558
1,5,47789
1,4,48505
1,3,49853
2,3,52898
3,3,62736
3,4,63632
4,4,64664
4,3,65347
4,2,67812
5,2,69174
5,3,70372
5,4,70821
5,5,71304
6,5,72868
6,6,74782
6,7,75215
7,7,76529
7,6,77478
7,5,77861
7,4,78260
7,3,78677
7,2,79160
6,2,79958
6,3,80490
6,4,80906
