x,y,t
0,0,0
1,0,56940
2,0,57206
3,0,57456
4,0,57688
5,0,58006
6,0,58491
6,1,59357
6,2,62995
7,2,64762
7,3,65746
7,4,67314
7,5,103308
7,6,103770
7,7,104287
6,7,105138
6,6,105867
6,5,107491
5,5,114062
5,4,114791
6,4,115637
6,3,116410
5,3,124350
5,2,125195
5,1,125712
4,1,126595
4,2,130900
4,3,131762
4,4,132510
3,4,133764
3,3,134432
3,2,134831
2,2,136734
2,3,137650
1,3,138717
0,3,166640
0,4,167735
1,4,168676
1,5,169692
0,5,177699
0,6,179746
0,7,185883
1,7,187547
1,6,188164
2,6,195833
2,7,196433
3,7,197267
3,6,198518
4,6,199219
