x,y,t
0,0,0
1,0,7766
2,0,8494
3,0,8745
4,0,8939
5,0,9145
6,0,9340
6,1,10074
5,1,10372
4,1,10685
4,2,10978
3,2,11544
2,2,11899
2,3,12249
1,3,12543
0,3,15442
0,4,16510
0,5,16847
0,6,17095
0,7,17350
1,7,17785
2,7,18092
3,7,18361
3,6,18879
4,6,20039
3,6,20381
2,6,20656
1,6,21102
1,5,21459
1,4,21725
1,3,22105
2,3,22503
3,3,22798
3,4,23225
4,4,23718
4,3,24035
4,2,24467
5,2,24867
6,2,25191
7,2,25406
7,3,25849
6,3,26176
5,3,26459
5,4,26778
6,4,27325
7,4,27834
7,5,28724
6,5,29066
5,5,29372
6,5,29923
6,6,30165
7,6,30625
7,7,30887
6,7,31296
