x,y,t
0,0,0
1,0,1270
2,0,1488
3,0,1674
4,0,1883
5,0,2092
6,0,2348
6,1,2730
5,1,3193
4,1,3375
4,2,3726
3,2,3955
2,2,4165
2,3,4665
1,3,4899
0,3,5169
0,4,5581
1,4,5825
1,5,6080
0,5,6328
0,6,6664
0,7,7205
1,7,7488
2,7,8181
2,6,8643
1,6,8902
2,6,9458
3,6,9779
3,7,10251
3,6,10544
4,6,10795
3,6,11391
2,6,11572
1,6,11796
0,6,11974
0,5,12243
0,4,12452
0,3,12632
1,3,13822
2,3,14039
3,3,14242
3,4,14807
4,4,16042
5,4,16572
5,5,16981
6,5,17706
6,6,18225
6,7,18538
7,7,18858
7,6,19546
7,5,19767
7,4,20013
7,3,20358
7,2,20759
6,2,21113
5,2,21392
4,2,21816
4,3,22164
5,3,22452
6,3,22751
6,4,23043
