x,y,t
0,0,0
1,0,1108
2,0,2312
3,0,2739
4,0,3006
5,0,3258
6,0,3489
6,1,4226
5,1,4957
4,1,5205
4,2,6043
3,2,7021
2,2,7270
2,3,8053
1,3,8504
0,3,8768
0,4,9519
1,4,10019
1,5,10669
0,5,11167
0,6,11667
0,7,12671
1,7,13085
1,6,13549
2,6,14020
2,7,14485
3,7,14932
3,6,15432
4,6,15967
3,6,19599
2,6,20512
1,6,20744
0,6,21093
1,6,21809
1,5,22274
1,4,22543
1,3,22727
2,3,23609
3,3,23875
3,4,24574
4,4,24925
4,3,25424
5,3,26556
5,2,27056
6,2,27539
7,2,27820
7,3,28552
6,3,29021
6,4,29420
5,4,29903
5,5,30420
6,5,31035
6,6,31516
6,7,32018
7,7,32433
7,6,32983
7,5,33232
7,4,33455
