x,y,t
0,0,0
1,0,2584
2,0,3077
3,0,3273
4,0,3461
5,0,3654
6,0,3896
6,1,4496
5,1,4880
4,1,5068
4,2,5674
3,2,6014
2,2,6295
2,3,6710
1,3,7077
0,3,7306
0,4,7646
1,4,7980
1,5,8269
0,5,8603
0,6,9200
0,7,10213
1,7,10615
2,7,11227
3,7,11493
2,7,12202
1,7,12427
1,6,12766
2,6,13137
3,6,13639
4,6,13721
3,6,14810
2,6,15328
1,6,15519
1,5,15944
1,4,16174
1,3,16361
2,3,16937
3,3,17277
3,4,17663
4,4,17965
5,4,18277
5,5,18645
6,5,18962
6,6,19280
6,7,19501
7,7,19786
7,6,20176
7,5,20488
7,4,20720
6,4,21565
5,4,22317
4,4,22542
4,3,22862
5,3,23152
6,3,23369
7,3,23550
7,2,23960
6,2,24369
5,2,24566
