x,y,t
0,0,0
1,0,8285
2,0,9985
3,0,10437
4,0,10851
4,1,11669
4,2,12385
3,2,13038
2,2,13551
2,3,14569
1,3,15021
0,3,15501
0,4,16552
0,5,17087
0,6,19521
0,7,19955
1,7,20519
1,6,21171
1,5,21604
1,6,23588
1,7,23986
2,7,24352
3,7,24738
3,6,25954
4,6,26455
3,6,27738
2,6,28069
1,6,29619
1,5,31120
1,4,31539
1,3,32106
2,3,33071
3,3,33455
3,4,34305
4,4,34738
4,3,36836
5,3,37371
5,4,38338
5,5,38753
6,5,40753
6,6,41469
6,7,41886
7,7,42372
7,6,43137
7,5,43437
7,4,43670
7,3,43920
7,4,46070
7,3,47289
7,4,48154
6,4,48639
6,3,49106
6,2,49823
7,2,50439
6,2,50972
5,2,53456
5,1,53923
5,0,54255
6,0,55090
6,1,55639
