x,y,t
0,0,0
1,0,9306
2,0,9818
3,0,9847
4,0,9878
5,0,9911
6,0,9940
6,1,10944
6,2,12104
7,2,13064
7,3,13793
7,4,14294
7,5,14341
7,6,14371
7,7,14403
6,7,21497
6,6,22344
6,5,22888
6,4,23425
6,3,26049
5,3,28881
5,2,29496
5,1,30168
4,1,34977
4,2,36888
3,2,37632
2,2,38264
2,3,43585
1,3,44217
0,3,45297
0,4,46024
0,5,46656
0,6,46960
0,7,47240
1,7,53098
2,7,53608
3,7,53640
3,6,55219
4,6,55849
3,6,56604
2,6,57260
1,6,57819
1,5,58506
1,4,59172
1,3,60642
2,3,61267
3,3,61754
3,2,66524
3,3,67702
4,3,68445
5,3,69885
5,4,71020
5,5,71483
5,4,72851
4,4,73411
3,4,73940
