x,y,t
0,0,0
1,0,2945
2,0,3247
3,0,3498
4,0,3936
4,1,4555
5,1,4889
5,0,5335
6,0,5796
6,1,6269
6,2,7452
7,2,7787
7,3,8283
6,3,9405
6,4,9663
7,4,10037
7,5,10447
6,5,11351
6,6,11814
7,6,14261
7,7,14613
6,7,14937
6,6,15347
6,5,15941
5,5,16429
5,4,16868
5,3,17218
5,2,17637
4,2,18655
4,3,19030
4,4,19437
3,4,20262
3,3,20703
3,2,21126
2,2,21940
2,3,22348
1,3,22918
0,3,23340
0,4,23788
1,4,24101
1,5,24406
0,5,24751
0,6,25269
1,6,25584
2,6,25955
3,6,28221
4,6,28575
3,6,29023
3,7,29310
2,7,29558
1,7,29773
0,7,29949
