x,y,t
0,0,0
1,0,3439
2,0,4906
3,0,5389
4,0,5906
5,0,7939
6,0,8456
6,1,9789
5,1,11324
4,1,11822
4,2,16904
3,2,17653
2,2,18220
2,3,19937
1,3,21804
0,3,22253
0,4,25771
1,4,27285
1,5,28717
0,5,29604
0,6,30330
0,7,34433
1,7,36415
1,6,37433
2,6,38932
2,7,39695
3,7,41265
3,6,42231
4,6,44631
3,6,45464
2,6,46131
1,6,46680
1,5,48547
1,4,48896
1,3,49430
2,3,51915
3,3,53994
4,3,54513
5,3,59898
5,2,60564
6,2,62027
7,2,62676
7,3,63809
6,3,64393
7,3,66341
7,4,67392
7,5,70757
7,6,71258
7,7,71891
6,7,72875
6,6,73808
6,5,75669
6,4,77488
5,4,78390
5,5,79006
5,4,79936
4,4,80506
3,4,81123
